Summary of Standards Based Test Performance
School Name,CRT,Reading ED, AS, MS, ES,Mathematics ED, AS, MS, ES,Science ED, AS, MS, ES
Edna F. Hinman Elementary School,56,15,16,13,56,28,11,6,N/A,N/A,N/A,N/A
Edythe and Lloyd Katz Elementary School,40,23,20,17,43,24,19,13,N/A,N/A,N/A,N/A
Eileen B. Brookman Elementary School,34,24,24,18,38,29,17,16,N/A,N/A,N/A,N/A
Eileen Conners Elementary School,24,20,30,27,23,28,25,24,N/A,N/A,N/A,N/A
Elaine Wynn Elementary School,59,21,13,7,67,17,11,5,N/A,N/A,N/A,N/A
Elbert B. Edwards Elementary School,49,25,19,8,53,25,16,6,N/A,N/A,N/A,N/A
Elise L. Wolff Elementary School,13,14,22,51,14,18,18,50,N/A,N/A,N/A,N/A
Elizabeth Wilhelm Elementary School,43,23,23,11,48,23,19,10,N/A,N/A,N/A,N/A
Elton and Madelaine Garrett Junior High School,22,23,39,16,29,33,19,19,N/A,N/A,N/A,N/A
"Ernest A. Becker, Sr. Middle School",36,27,24,13,50,23,15,12,N/A,N/A,N/A,N/A
Ernest J. May Elementary School,28,21,29,22,32,30,27,11,N/A,N/A,N/A,N/A
Estes M. Mc Doniel Elementary School,14,20,33,32,16,24,30,31,N/A,N/A,N/A,N/A
Ethel W. Staton Elementary School,18,17,26,39,18,20,27,36,N/A,N/A,N/A,N/A
Eva G. Simmons Elementary School,37,23,26,14,42,31,18,9,N/A,N/A,N/A,N/A
Eva Wolfe Elementary School,38,30,20,13,46,28,18,9,N/A,N/A,N/A,N/A
Evelyn Stuckey Elementary School,18,17,29,35,15,22,31,32,N/A,N/A,N/A,N/A
Explore Knowledge Academy Charter Secondary,12,21,45,23,33,29,26,13,N/A,N/A,N/A,N/A
Explore Knowledge Academy Elementary,26,20,26,28,34,37,22,7,N/A,N/A,N/A,N/A
Fay Galloway Elementary School,38,22,22,17,37,24,19,20,N/A,N/A,N/A,N/A
Fay Herron Elementary School,40,24,23,13,44,22,22,13,N/A,N/A,N/A,N/A
Francis H. Cortney Junior High School,58,24,16,3,70,20,6,3,N/A,N/A,N/A,N/A
Frank F. Garside Junior High School,55,24,19,3,73,18,6,2,N/A,N/A,N/A,N/A
Frank J. Lamping Elementary School,16,18,24,42,15,24,28,32,N/A,N/A,N/A,N/A
Frank Kim Elementary School,42,22,28,9,50,21,19,11,N/A,N/A,N/A,N/A
Fredric W. Watson Elementary School,52,23,18,8,51,26,15,8,N/A,N/A,N/A,N/A
Gene Ward Elementary School,57,19,17,7,66,18,12,5,N/A,N/A,N/A,N/A
George E. Harris Elementary School,43,25,22,10,51,27,13,9,N/A,N/A,N/A,N/A
Glen C. Taylor Elementary School,20,19,24,38,22,23,23,32,N/A,N/A,N/A,N/A
Goodsprings Elementary School,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A
Grant M. Bowler Elementary School,23,20,30,28,21,29,31,19,N/A,N/A,N/A,N/A
Grant Sawyer Middle School,35,31,28,7,59,22,11,8,N/A,N/A,N/A,N/A
"Gunderson, Barry and June MS",18,25,37,19,27,24,24,25,N/A,N/A,N/A,N/A
Gwendolyn Woolley Elementary School,45,26,19,10,50,29,16,5,N/A,N/A,N/A,N/A
H. P. Fitzgerald Elementary School,53,20,16,12,43,23,21,13,N/A,N/A,N/A,N/A
Hal Smith Elementary School,62,23,10,5,67,24,5,3,N/A,N/A,N/A,N/A
Halle Hewetson Elementary School,57,22,13,8,60,25,10,5,N/A,N/A,N/A,N/A
Harley A. Harmon Elementary School,46,22,22,11,40,32,18,10,N/A,N/A,N/A,N/A
Harriet A. Treem Elementary School,31,22,26,21,31,31,26,12,N/A,N/A,N/A,N/A
Harry Reid Elementary School,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A
Harvey N. Dondero Elementary School,56,15,20,9,50,24,16,10,N/A,N/A,N/A,N/A
Helen C. Cannon Junior High School,54,26,16,4,72,20,6,2,N/A,N/A,N/A,N/A
Helen Herr Elementary School,49,22,17,12,48,29,14,8,N/A,N/A,N/A,N/A
Helen M. Jydstrup Elementary School,37,26,22,16,38,23,24,15,N/A,N/A,N/A,N/A
Helen Marie Smith Elementary School,36,22,25,17,36,26,27,12,N/A,N/A,N/A,N/A
Henry and Evelyn Bozarth Elementary School,20,15,31,33,22,25,27,26,N/A,N/A,N/A,N/A
Herbert A. Derfelt Elementary School,36,21,25,17,44,25,18,13,N/A,N/A,N/A,N/A
Howard A. Wasden Elementary School,42,24,21,13,49,24,20,8,N/A,N/A,N/A,N/A
Howard E. Heckethorn Elementary School,17,19,29,35,21,22,32,25,N/A,N/A,N/A,N/A
Howard E. Hollingsworth Elementary School,50,22,20,8,59,25,11,5,N/A,N/A,N/A,N/A
Hyde Park Middle School and the Academy of Science and Mathematics,29,19,25,27,37,17,14,32,N/A,N/A,N/A,N/A
Indian Springs Elementary School,25,38,19,19,39,29,26,6,N/A,N/A,N/A,N/A
Indian Springs Middle School,13,35,35,16,51,30,15,4,N/A,N/A,N/A,N/A
Innovations International Charter School of Nevada,47,20,26,7,48,30,16,6,N/A,N/A,N/A,N/A
Innovations International Charter School of NV,54,31,13,3,78,17,4,2,N/A,N/A,N/A,N/A
Ira J. Earl Elementary School,63,21,12,4,60,24,12,4,N/A,N/A,N/A,N/A
Irwin and Susan Molasky Junior High School,51,27,18,5,68,20,9,4,N/A,N/A,N/A,N/A
J. D. Smith Middle School,60,23,14,3,78,16,4,2,N/A,N/A,N/A,N/A
J. Harold Brinley Middle School,52,27,18,2,71,22,5,2,N/A,N/A,N/A,N/A
J. Marlan Walker International Elementary School,23,21,31,25,21,28,27,24,N/A,N/A,N/A,N/A
J. T. Mc Williams Elementary School,56,19,16,9,58,23,12,7,N/A,N/A,N/A,N/A
Jack and Terry Mannion Middle School,18,23,37,23,35,25,21,20,N/A,N/A,N/A,N/A
Jack Dailey Elementary School,45,24,19,12,57,21,12,11,N/A,N/A,N/A,N/A
Jack Lund Schofield Middle School,38,27,26,10,56,25,12,7,N/A,N/A,N/A,N/A
Jacob E. Manch Elementary School,61,20,14,5,73,19,6,2,N/A,N/A,N/A,N/A
James B. Mc Millan Elementary School,41,21,25,12,49,25,19,7,N/A,N/A,N/A,N/A
James Cashman Middle School,57,20,18,6,68,19,9,4,N/A,N/A,N/A,N/A
James E. and A. Rae Smalley Elementary School,4,13,29,53,6,21,26,48,N/A,N/A,N/A,N/A
James H. Bilbray Elementary School,19,17,30,33,24,19,27,30,N/A,N/A,N/A,N/A
James I. Gibson Elementary School,24,19,24,33,27,22,27,24,N/A,N/A,N/A,N/A
James Madison Ullom Elementary School,43,23,16,18,46,24,17,12,N/A,N/A,N/A,N/A
Jan Jones Blackhurst Elementary School,19,15,27,39,19,24,30,26,N/A,N/A,N/A,N/A
Jay W. Jeffers Elementary School,60,21,13,5,58,23,13,6,N/A,N/A,N/A,N/A
"Jenkins, Earl N ES",37,23,20,21,38,27,21,15,N/A,N/A,N/A,N/A
Jerome D. Mack Middle School,63,21,13,2,69,21,8,2,N/A,N/A,N/A,N/A
Jesse D. Scott ES,64,18,13,5,70,21,7,2,N/A,N/A,N/A,N/A
Jim Thorpe Elementary School,45,20,21,13,50,27,15,8,N/A,N/A,N/A,N/A
Jo Mackey Academy of Leadership and Global Communication,19,26,35,20,23,30,26,21,N/A,N/A,N/A,N/A
John A. Dooley Elementary School,28,21,26,25,21,33,27,19,N/A,N/A,N/A,N/A
John C. Bass Elementary School,20,21,30,29,22,31,25,22,N/A,N/A,N/A,N/A
John C. Fremont Professional Development Middle School,37,30,26,7,56,27,13,5,N/A,N/A,N/A,N/A
John C. Vanderburg Elementary School,12,16,34,38,13,19,25,43,N/A,N/A,N/A,N/A
John F. Mendoza Elementary School,46,25,22,8,48,27,15,11,N/A,N/A,N/A,N/A
John R. Beatty Elementary School,24,22,31,23,36,29,24,11,N/A,N/A,N/A,N/A
John R. Hummel Elementary School,47,20,21,13,45,25,20,11,N/A,N/A,N/A,N/A
John S. Park Elementary School,48,23,17,12,50,27,15,8,N/A,N/A,N/A,N/A
John Tartan Elementary School,53,20,16,11,59,23,13,5,N/A,N/A,N/A,N/A
John W. Bonner Elementary School,15,14,27,43,13,16,26,44,N/A,N/A,N/A,N/A
Joseph E. Thiriot Elementary School,39,23,25,14,38,26,25,11,N/A,N/A,N/A,N/A
"Joseph L. Bowler, Sr. Elementary School",47,24,20,9,47,25,19,9,N/A,N/A,N/A,N/A
Joseph M. Neal Elementary School,30,20,30,19,31,26,24,20,N/A,N/A,N/A,N/A
Josh Stevens Elementary School,27,23,25,24,27,26,26,21,N/A,N/A,N/A,N/A
Judith D. Steele Elementary School,30,16,23,30,28,22,23,27,N/A,N/A,N/A,N/A
Judy and John Goolsby Elementary School,15,15,25,45,12,19,24,45,N/A,N/A,N/A,N/A
Justice Myron E. Leavitt Middle School,28,27,32,13,47,28,15,10,N/A,N/A,N/A,N/A
Juvenile Detention 3-12,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A
K. O. Knudson Middle School Academy of Creative Arts and Technology,37,21,30,12,65,21,10,4,N/A,N/A,N/A,N/A
Kathleen and Tim Harney Middle School,62,21,14,3,77,17,5,1,N/A,N/A,N/A,N/A
Kathy L. Batterman Elementary School,17,20,28,35,17,24,28,32,N/A,N/A,N/A,N/A
Kay Carl Elementary School,37,21,25,17,39,27,22,12,N/A,N/A,N/A,N/A
Keith C. and Karen W. Hayes Elementary School,24,23,26,28,30,23,25,22,N/A,N/A,N/A,N/A
Kenneth Divich Elementary,22,22,28,28,19,25,30,26,N/A,N/A,N/A,N/A
Kenny C. Guinn Middle School,34,24,28,14,51,22,14,13,N/A,N/A,N/A,N/A
"Kermit Roosevelt Booker, Sr. Innovative Elementary School",61,17,15,7,55,29,9,7,N/A,N/A,N/A,N/A
Kirk Adams Elementary School,49,22,17,12,54,24,13,9,N/A,N/A,N/A,N/A
Kit Carson International Academy,37,15,27,21,40,21,24,15,N/A,N/A,N/A,N/A
Kitty Mc Donough Ward Elementary School,18,25,23,34,22,24,27,27,N/A,N/A,N/A,N/A
Laughlin Jr/Sr High School,44,23,26,8,60,23,9,7,N/A,N/A,N/A,N/A
Laura Dearing Elementary School,61,19,15,5,68,16,14,1,N/A,N/A,N/A,N/A
Lawrence and Heidi Canarelli Middle School,27,27,33,14,35,27,22,15,N/A,N/A,N/A,N/A
Lee Antonello Elementary School,41,20,25,14,41,24,23,12,N/A,N/A,N/A,N/A
Lewis E. Rowe Elementary School,37,22,21,19,43,29,18,9,N/A,N/A,N/A,N/A
Lied Middle School,14,26,41,19,21,26,30,23,N/A,N/A,N/A,N/A
Liliam Lujan Hickey Elementary School,57,21,16,6,60,23,13,4,N/A,N/A,N/A,N/A
Lincoln Elementary School,55,24,14,7,53,27,15,5,N/A,N/A,N/A,N/A
Linda R. Givens Elementary School,15,14,27,43,14,16,23,46,N/A,N/A,N/A,N/A
Lois and Jerry Tarkanian Middle School,18,27,39,17,32,29,24,14,N/A,N/A,N/A,N/A
Lois Craig Elementary School,72,20,6,2,77,15,7,0,N/A,N/A,N/A,N/A
"Lomie G. Heard Elementary School, A Marzano Academy",35,18,22,25,29,30,20,21,N/A,N/A,N/A,N/A
Lorna J. Kesterson Elementary School,27,20,25,28,30,23,25,23,N/A,N/A,N/A,N/A
"Louis Wiener, Jr. Elementary School",44,18,24,13,40,32,16,11,N/A,N/A,N/A,N/A
Lucile S. Bruner Elementary School,50,22,17,11,59,20,14,7,N/A,N/A,N/A,N/A
Lucille S. Rogers Elementary School,35,20,25,19,33,25,27,15,N/A,N/A,N/A,N/A
Lyal Burkholder Middle School,42,27,25,7,58,25,10,7,N/A,N/A,N/A,N/A
M. J. Christensen Elementary School,33,25,24,18,40,27,23,10,N/A,N/A,N/A,N/A
Mabel Hoggard Mathematics and Science Magnet Elementary School,20,19,30,31,23,21,29,28,N/A,N/A,N/A,N/A
"Mackey, Jo MS",13,25,41,21,42,28,18,12,N/A,N/A,N/A,N/A
Manuel J. Cortez Elementary School,46,27,19,8,45,28,16,11,N/A,N/A,N/A,N/A
Marc A. Kahre Elementary School,38,25,26,11,40,30,17,13,N/A,N/A,N/A,N/A
Mario C. and Joanne Monaco Middle School,50,29,17,4,71,19,8,2,N/A,N/A,N/A,N/A
Marion B. Earl Elementary School,38,28,23,11,38,32,18,12,N/A,N/A,N/A,N/A
Marion E. Cahlan Elementary School,37,28,21,14,45,26,17,12,N/A,N/A,N/A,N/A
Mark L. Fine Elementary School,38,17,27,18,42,23,24,12,N/A,N/A,N/A,N/A
Marshall C. Darnell Elementary,37,22,25,16,33,29,22,15,N/A,N/A,N/A,N/A
Martha P. King Elementary School,23,20,24,33,22,25,27,26,N/A,N/A,N/A,N/A
"Martin Luther King, Jr. Elementary School",59,20,15,7,66,20,11,4,N/A,N/A,N/A,N/A
Marvin M. Sedway Middle School,48,30,17,5,72,19,7,2,N/A,N/A,N/A,N/A
Matt Kelly Elementary School,66,22,10,2,73,18,6,3,N/A,N/A,N/A,N/A
Mc Caw STEAM Magnet Elementary School,8,14,25,52,10,16,28,46,N/A,N/A,N/A,N/A
Mervin Iverson Elementary School,35,25,21,20,32,28,21,19,N/A,N/A,N/A,N/A
Mike O'Callaghan Middle School,18,24,37,20,30,28,20,22,N/A,N/A,N/A,N/A
Miley Achievement Center,100,0,0,0,100,0,0,0,N/A,N/A,N/A,N/A
Miley Achievement Center Sec,100,0,0,0,100,0,0,0,N/A,N/A,N/A,N/A
Mountain View Elementary School,58,22,14,7,57,23,14,5,N/A,N/A,N/A,N/A
Myrtle Tate Elementary School,38,27,22,13,45,22,17,16,N/A,N/A,N/A,N/A
Nate Mack Elementary School,21,23,25,30,22,20,34,24,N/A,N/A,N/A,N/A
Neil C. Twitchell Elementary School,17,17,23,42,14,25,25,36,N/A,N/A,N/A,N/A
Nevada Learning Academy at CCSD,43,27,24,6,68,22,7,3,N/A,N/A,N/A,N/A
NV Learning Academy ES,58,20,11,10,66,18,11,5,N/A,N/A,N/A,N/A
O. K. Adcock Elementary School,40,25,19,15,44,23,15,18,N/A,N/A,N/A,N/A
Odyssey Charter Elementary School,20,23,31,26,38,29,20,13,N/A,N/A,N/A,N/A
Odyssey Charter School 6-8,19,29,35,17,38,29,19,14,N/A,N/A,N/A,N/A
Ollie Detwiler Elementary School,67,17,11,5,64,22,10,3,N/A,N/A,N/A,N/A
Oran K. Gragson Elementary School,42,25,23,10,60,24,13,4,N/A,N/A,N/A,N/A
Paradise Professional Development Elementary School,43,27,20,10,53,25,13,10,N/A,N/A,N/A,N/A
Pat A. Diskin Elementary School,31,25,25,19,34,27,26,13,N/A,N/A,N/A,N/A
Patricia A. Bendorf Elementary School,43,17,23,18,46,21,20,12,N/A,N/A,N/A,N/A
Paul E. Culley Elementary School,47,19,21,13,49,27,17,7,N/A,N/A,N/A,N/A
Peterson Behavior Jr./Sr. High School,83,9,8,0,93,2,3,1,N/A,N/A,N/A,N/A
Quannah Mc Call Elementary School,56,18,19,7,51,22,18,8,N/A,N/A,N/A,N/A
Quest Program,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
R. E. Tobler Elementary School,22,27,30,21,34,28,25,14,N/A,N/A,N/A,N/A
R. Guild Gray Elementary School,40,22,20,18,46,26,17,11,N/A,N/A,N/A,N/A
Ralph Cadwallader Middle School,32,25,31,12,34,25,23,18,N/A,N/A,N/A,N/A
Raul P. Elizondo Elementary School,54,19,17,10,59,25,10,5,N/A,N/A,N/A,N/A
Red Rock Elementary School,51,22,22,6,44,30,18,8,N/A,N/A,N/A,N/A
Rex Bell Elementary School,58,20,12,10,59,24,11,6,N/A,N/A,N/A,N/A
Reynaldo Martinez Elementary School,59,18,15,8,63,18,12,7,N/A,N/A,N/A,N/A
Richard C. Priest Elementary School,38,26,19,17,41,27,20,12,N/A,N/A,N/A,N/A
Richard H. Bryan Elementary School,24,23,29,25,33,28,22,17,N/A,N/A,N/A,N/A
Richard J. Rundle Elementary School,50,20,17,13,53,24,16,8,N/A,N/A,N/A,N/A
Robert and Sandy Ellis Elementary,15,22,27,36,13,25,27,35,N/A,N/A,N/A,N/A
Robert E. Lake Elementary School,55,22,15,8,54,30,10,6,N/A,N/A,N/A,N/A
