Persons Employed as Substitute Teachers
School Name,Grade Level,Subjects Elementary Long Term, Short Term, Mathematics Long Term, Short Term, Science Long Term, Short Term, Social Studies Long Term, Short Term, English Long Term, Short Term
Burkholder MS,6-8,N/A,N/A,1,16,0,39,0,10,2,17
Cadwallader MS,6-8,N/A,N/A,0,40,0,18,1,24,3,32
Cahlan ES,Pre-K-5,4,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cambeiro ES,K-5,8,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canarelli MS,6-8,N/A,N/A,2,59,1,14,0,13,0,47
Cannon JHS,6-8,N/A,N/A,2,10,1,2,1,6,2,10
Canyon Springs HS,9-12,N/A,N/A,0,54,6,83,5,147,2,97
Carl ES,PK-5,4,361,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carson ES,Pre K-5,2,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cartwright ES,PK-5,5,326,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cashman MS,6-8,N/A,N/A,0,7,2,4,0,14,0,18
CC Detention,6-12,N/A,N/A,0,0,0,0,0,0,0,0
Centennial HS,9-12,N/A,N/A,1,56,4,62,1,101,2,100
Chaparral HS,9-12,N/A,N/A,1,49,6,91,1,136,5,149
Cheyenne HS,9-12,N/A,N/A,6,37,9,12,1,53,3,122
Child Find,-----,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christensen ES,PK-5,8,160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cimarron-Memorial HS,9-12,N/A,N/A,0,117,1,91,1,65,2,184
Clark HS,9-12,N/A,N/A,2,133,0,120,1,112,2,166
Conners ES,PK-5,8,169,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Coronado HS,9-12,N/A,N/A,0,74,1,103,0,103,3,119
Cortez ES,PK-5,14,140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cortney JHS,6-8,N/A,N/A,0,13,3,10,0,17,0,83
Cowan Behavior Jr/Sr HS,6-12,N/A,N/A,0,11,0,10,0,8,0,29
Cowan Sunset SE HS,9-12,N/A,N/A,0,0,0,0,0,0,0,0
Cox (Clyde) ES,PK-5,9,173,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cox (David) ES,K-5,3,278,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cozine ES,PK-5,5,295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Craig ES,PK-5,20,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cram MS,6-8,N/A,N/A,1,54,0,16,1,20,0,18
Crestwood ES,PK-5,6,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CSNHS East,11-12,N/A,N/A,0,1,1,103,0,13,0,9
CSNHS South,11-12,N/A,N/A,0,21,0,0,0,11,0,15
CSNHS West,11-12,N/A,N/A,0,0,0,0,0,14,0,17
CTTA,09-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Culley ES,PK-5,24,179,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cunningham ES,PK-5,22,104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dailey ES,PK-5,11,219,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Darnell ES,PK-5,4,280,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dearing ES,PK-5,15,248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Decker ES,K-5,10,160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Del Sol Academy,9-12,N/A,N/A,5,30,0,62,2,127,1,83
Delta Academy,6-12,N/A,N/A,0,25,0,18,1,10,0,24
Dennis Ortwein Elementary,PK-05,5,221,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derfelt ES,PK-5,9,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desert Oasis HS,9-12,N/A,N/A,1,74,2,96,0,79,1,83
Desert Pines HS,9-12,N/A,N/A,11,53,11,109,6,79,12,79
Desert Rose HS,9-12,N/A,N/A,0,6,0,23,0,19,0,22
Desert Willow ES,K-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desert Willow Secondary,06-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
