School Name,Stars
White MS,4
Adv Tech ACAD HS,5
Bonanza HS,2
Boulder City HS,4
CC Detention JSHS HS,1
Cheyenne HS,2
Coronado HS,5
CSN East HS,5
CTTA HS,NR
Desert Oasis HS,4
Desert Willow JSHS HS,NR
Eldorado HS,3
Global Community HS,1
Innovations SEC HS,3
Las Vegas HS,3
Liberty HS,4
Mission HS,1
Morris Sunset HS,2
NWCTA HS,5
Peterson Behavior HS,NR
SECTA HS,5
Silverado HS,3
Spring Valley HS,4
Sunrise Mountain HS,2
Variety JSHS HS,1
WCTA HS,5
Burk Horizon SW HS,NR
Centennial HS,3
Cimarron Mem HS,3
Cowan Behavior HS,NR
CSN South HS,5
Del Sol ACAD HS,3
Desert Pines HS,2
Durango HS,3
Expl Knowledge SEC HS,4
Green Valley HS,4
Juvenile Court HS,NR
Laughlin JSHS HS,2
Miley Achvmt SEC HS,NR
Moapa Valley HS,5
NECTA HS,NR
Odyssey HS,3
Rancho HS,3
Shadow Ridge HS,4
South Cont JSHS HS,NR
Stewart HS,1
SWCTA HS,5
Virgin Valley HS,3
West Prep JSHS HS,4
Canyon Springs HS,3
Chaparral HS,2
Clark HS,2
Cowan Sunset SE HS,NR
CSN West HS,5
Delta Charter HS,1
Desert Rose ALT HS,1
ECTA HS,4
Foothill HS,4
Indian Springs HS,4
Las Vegas ACAD HS,5
Legacy HS,2
Miller John F HS,1
Mojave HS,2
NV LRN Academy HS,1
Palo Verde HS,4
Sandy Valley JSHS HS,3
Sierra Vista HS,4
Spring Mtn JSHS HS,NR
Summit View JSHS HS,NR
Valley HS,2
VTCTA HS,5
Western HS,2
