School Name,10 #, %, # English Learners, % English Learners, # Free or Reduced Priced Lunch Eligible, % Free or Reduced Priced Lunch Eligible, # IEP, % IEP, # Am In/ AK Native, % Am In/ AK Native, # Asian, % Asian, # Hispanic, % Hispanic, # Black, % Black, # White, % White, # Pacific Islander, % Pacific Islander, # Two or More Races, % Two or More Races, # Male, % Male, # Female, % Female, # Homeless, % Homeless, # Foster, % Foster, # Military Connected, % Military Connected
Peterson Behavior Jr./Sr. HS,18,64.3,-,-,18,64.3,-,-,N/A,N/A,N/A,N/A,-,-,-,-,-,-,N/A,N/A,-,-,11,68.8,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Rancho HS,167,21.7,64,36.8,167,21.7,24,27,-,-,0,<5,130,21.7,30,39.5,-,-,0,<5,-,-,91,23,76,20.3,13,59.1,-,-,0,<5
Sandy Valley Jr/Sr HS,-,-,0,<5,-,-,0,<5,N/A,N/A,0,<5,-,-,0,<5,0,<5,N/A,N/A,-,-,0,<5,-,-,-,-,N/A,N/A,N/A,N/A
SE CTA,15,<5,-,-,15,<5,-,-,0,<5,-,-,12,<5,0,<5,-,-,0,<5,-,-,-,-,12,<5,0,<5,0,<5,0,<5
Shadow Ridge HS,105,13.5,10,26.3,105,13.5,13,15.9,-,-,-,-,36,15.5,27,20.9,27,9.2,-,-,-,-,65,16.5,40,10.4,-,-,-,-,-,-
Sierra Vista HS,117,13.7,18,23.4,117,13.7,-,-,0,<5,-,-,34,14.7,31,22.5,21,10.7,-,-,20,18.3,79,17.8,38,9.3,-,-,-,-,-,-
Silverado HS,132,25.5,15,32.6,132,25.5,12,20,N/A,N/A,-,-,49,24.6,21,36.8,37,24.3,-,-,14,28,75,29.2,57,21.9,-,-,-,-,0,<5
South Continuation Jr./Sr. Hig,14,66.7,-,-,14,66.7,-,-,N/A,N/A,0,<5,-,-,-,-,N/A,N/A,N/A,N/A,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A
Spring Mountain Jr/Sr HS,18,90,-,-,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,-,15,93.8,N/A,N/A,N/A,N/A,-,-,18,90,N/A,N/A,-,-,N/A,N/A,N/A,N/A
Spring Valley HS,132,18.1,20,26.3,132,18.1,16,23.2,0,<5,-,-,60,22.6,41,25.9,17,11.7,-,-,-,-,78,20.5,54,15.6,-,-,0,<5,0,<5
Stewart School,-,-,-,-,-,-,-,-,N/A,N/A,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Summit View J/SHS,-,-,0,<5,N/A,N/A,-,-,-,-,N/A,N/A,0,<5,-,-,-,-,N/A,N/A,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sunrise Mountain HS,245,38,90,45.2,245,38,32,42.1,-,-,-,-,182,36.3,35,38.9,17,63,0,<5,-,-,133,44.8,112,32.2,11,57.9,0,<5,N/A,N/A
SW CTA,-,-,0,<5,-,-,0,<5,N/A,N/A,-,-,-,-,0,<5,0,<5,0,<5,0,<5,0,<5,-,-,0,<5,N/A,N/A,N/A,N/A
Valley HS,245,35.3,93,46.5,245,35.3,27,37.5,-,-,-,-,166,34.3,54,46.6,12,29.3,-,-,-,-,128,36.2,117,34.4,15,65.2,-,-,0,<5
Variety SEC,17,94.4,-,-,17,94.4,17,94.4,N/A,N/A,-,-,-,-,-,-,-,-,N/A,N/A,-,-,13,92.9,-,-,N/A,N/A,-,-,N/A,N/A
Virgin Valley HS,18,9.2,-,-,18,9.2,0,<5,-,-,-,-,10,10,0,<5,-,-,N/A,N/A,0,<5,11,10.5,-,-,N/A,N/A,N/A,N/A,N/A,N/A
VT CTA,-,-,-,-,-,-,0,<5,0,<5,-,-,-,-,-,-,-,-,0,<5,0,<5,-,-,-,-,0,<5,N/A,N/A,0,<5
West CTA,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,0,<5
West Prep Sec,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A,-,-,-,-,0,<5,N/A,N/A,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A
Western HS,308,42.8,114,52.5,308,42.8,38,40.4,-,-,-,-,233,42.9,44,47.3,10,23.3,-,-,10,66.7,188,47.1,120,37.4,20,74.1,-,-,-,-
