Parent Teacher Conference Attendance
School Name,Accountability Year,Parent/ Teacher Conference Attendance
Long ES,2024,95
Long ES,2023,100
Long ES,2022,100
Lowman ES,2024,96
Lowman ES,2023,95
Lowman ES,2022,96
Lummis ES,2024,93
Lummis ES,2023,98
Lummis ES,2022,98
Lundy ES,2024,97
Lundy ES,2023,98
Lundy ES,2022,100
Lunt ES,2024,80
Lunt ES,2023,90
Lunt ES,2022,96
Lynch ES,2024,38
Lynch ES,2023,14
Lynch ES,2022,22
Mack (Nate) ES,2024,99
Mack (Nate) ES,2023,99
Mack (Nate) ES,2022,98
Mackey ES,2024,98
Mackey ES,2023,98
Mackey ES,2022,99
Manch ES,2024,48
Manch ES,2023,64
Manch ES,2022,92
Martinez ES,2024,90
Martinez ES,2023,87
Martinez ES,2022,89.2
Mathis ES,2024,90
Mathis ES,2023,85
Mathis ES,2022,93
May ES,2024,94
May ES,2023,95
May ES,2022,96
Mc Call ES,2024,90
Mc Call ES,2023,87
Mc Call ES,2022,89
Mc Caw ES,2024,100
Mc Caw ES,2023,100
Mc Caw ES,2022,100
Mc Doniel ES,2024,99
Mc Doniel ES,2023,99
Mc Doniel ES,2022,98
Mc Millan ES,2024,99
Mc Millan ES,2023,99
Mc Millan ES,2022,99
Mc Williams ES,2024,98
Mc Williams ES,2023,100
Mc Williams ES,2022,98
Mendoza ES,2024,97
Mendoza ES,2023,98
Mendoza ES,2022,98
Miley Achievement Center ES,2024,50
Miley Achievement Center ES,2023,75
Miley Achievement Center ES,2022,88
Miller (John) School,2024,94
Miller (John) School,2023,98
Miller (John) School,2022,98
Miller (Sandy) ES,2024,95
Miller (Sandy) ES,2023,99
Mitchell ES,2024,94
Mitchell ES,2023,96
Mitchell ES,2022,95
Moore ES,2024,92
Moore ES,2023,88
Moore ES,2022,65
Morrow ES,2024,95
Morrow ES,2023,96
Morrow ES,2022,95.8
Mountain View ES,2024,89
Mountain View ES,2023,87
Mountain View ES,2022,87
Neal ES,2024,98
Neal ES,2023,95
Neal ES,2022,98
Nevada Learning Academy,2022,93
Newton ES,2024,98
Newton ES,2023,80
Newton ES,2022,90
NV Learning Academy ES,2024,85.5
NV Learning Academy ES,2023,84
NV Learning Academy ES,2022,93
NW CTA ES,2023,100
NW CTA ES,2022,100
O'Roarke ES,2024,95
O'Roarke ES,2023,95
O'Roarke ES,2022,95
Ober ES,2024,98
Ober ES,2023,97
Ober ES,2022,95
Odyssey Charter ES,2024,100
Odyssey Charter ES,2023,100
Odyssey Charter ES,2022,100
Paradise PDS,2024,92
Paradise PDS,2023,90
Paradise PDS,2022,95
Park ES,2024,94
Park ES,2023,98
Park ES,2022,97
Parson ES,2024,85
Parson ES,2023,88
Parson ES,2022,90.5
Perkins (Dr. Claude G.) ES,2024,92
Perkins (Dr. Claude G.) ES,2023,98
Perkins (Dr. Claude G.) ES,2022,100
Perkins (Ute) ES,2024,95
Perkins (Ute) ES,2023,96
Perkins (Ute) ES,2022,98
Petersen ES,2024,42
Petersen ES,2023,70
Piggott ES,2024,99.6
Piggott ES,2023,99.6
Piggott ES,2022,98
Pittman ES,2024,60
Pittman ES,2023,76
Pittman ES,2022,50
Priest ES,2024,93
Priest ES,2023,83
Priest ES,2022,92
Rainbow Dreams Academy,2024,99
Rainbow Dreams Academy,2023,93
Rainbow Dreams Academy,2022,98
Red Rock ES,2024,83
Red Rock ES,2023,75
Red Rock ES,2022,95
Reed ES,2024,91
Reed ES,2023,90
Reed ES,2022,97
Reedom ES,2024,97
Reedom ES,2023,96
Reedom ES,2022,98.5
Reid ES,2024,100
Reid ES,2023,100
Reid ES,2022,100
Rhodes ES,2024,96
Rhodes ES,2023,98
Rhodes ES,2022,98
Ries ES,2024,100
Ries ES,2023,100
Ries ES,2022,100
Roberts ES,2024,87
Roberts ES,2023,83
Roberts ES,2022,86
Rogers ES,2024,100
Rogers ES,2023,98
Rogers ES,2022,100
Ronnow ES,2024,100
Ronnow ES,2023,100
Ronnow ES,2022,100
Ronzone ES,2024,95
Ronzone ES,2023,91
Ronzone ES,2022,91
Roundy ES,2024,88
Roundy ES,2023,85
Roundy ES,2022,74
Rowe ES,2024,99
Rowe ES,2023,95
Rowe ES,2022,98
Rundle ES,2024,97
Rundle ES,2023,97
Rundle ES,2022,98
Sandy Valley ES,2024,83
Sandy Valley ES,2023,89
Sandy Valley ES,2022,80
Scherkenbach ES,2024,96.3
Scherkenbach ES,2023,96
Scherkenbach ES,2022,77
Schorr ES,2024,92
Schorr ES,2023,96
Schorr ES,2022,98
Scott ES,2024,91
Scott ES,2023,77
Scott ES,2022,94
Sewell ES,2024,83
Sewell ES,2023,92
Sewell ES,2022,88
Shirley A Barber Elementary,2024,95
Shirley A Barber Elementary,2023,98
Simmons ES,2024,96
Simmons ES,2023,99
Simmons ES,2022,98
Smalley ES,2024,100
Smalley ES,2023,95
Smalley ES,2022,100
Smith (Hal) ES,2024,76
Smith (Hal) ES,2023,88
Smith (Hal) ES,2022,91
Smith (Helen) ES,2024,100
Smith (Helen) ES,2023,100
Smith (Helen) ES,2022,100
Snyder ES,2024,92
