School Name,K #, %,1 #, %,2 #, %,3 #, %,4 #, %,5 #, %,6 #, %,7 #, %,8 #, %
CC Detention,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christensen ES,0,<5,0,<5,-,-,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Conners ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Cortez ES,-,-,0,<5,-,-,0,<5,0,<5,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Cortney JHS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5
Cowan Behavior Jr/Sr HS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5
Cox (Clyde) ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Cox (David) ES,-,-,0,<5,-,-,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Cozine ES,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Craig ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Cram MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,-,-,0,<5
Crestwood ES,-,-,-,-,-,-,-,-,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Culley ES,-,-,0,<5,-,-,-,-,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Cunningham ES,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Dailey ES,-,-,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Darnell ES,0,<5,-,-,-,-,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Dearing ES,-,-,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Decker ES,-,-,-,-,0,<5,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
