"School Name","Stars"
"Smalley ES","5"
"Snyder D ES","2"
"Stanford ES","1"
"Stevens ES","3"
"Sunrise Acres ES","1"
"Tartan ES","2"
"Taylor R ES","1"
"Thompson ES","2"
"Tobler ES","4"
"Treem ES","3"
"Twitchell ES","4"
"Variety ES","NR"
"Virgin Valley ES","2"
"Ward Kitty ES","4"
"Watson ES","1"
"Whitney ES","2"
"Williams T ES","1"
"Wolff ES","4"
"Wynn ES","1"
"Becker MS","2"
"Brown JHS MS","2"
"Canarelli MS","3"
"CC Detention JSHSMS","NR"
"Cram MS","2"
"Escobedo MS","2"
"Fertitta MS","3"
"Garrett MS","3"
"Greenspun JHS MS","3"
"Harney MS","1"
"Indian Springs MS","2"
"Johnston MS","1"
"Knudson MS","1"
"Leavitt MS","2"
"Mack MS","1"
"Martin MS","1"
"Miller MS","3"
"Monaco MS","1"
"Odyssey MS","4"
"Robison MS","1"
"Saville MS","2"
"Sedway MS","1"
"South Cont JSHS MS","NR"
"Summit View JSHSMS","NR"
"Variety JSHS MS","NR"
"West Prep JSHS MS","1"
"AccelerationAcademy HS","1"
"Basic ACAD HS","3"
