"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"InnovationsInternationalCharter Schoolof NV","54","31","13","3","78","17","4","2","N/A","N/A","N/A","N/A"
"Ira J. EarlElementarySchool","63","21","12","4","60","24","12","4","N/A","N/A","N/A","N/A"
"Irwin andSusan MolaskyJunior HighSchool","51","27","18","5","68","20","9","4","N/A","N/A","N/A","N/A"
"J. D. SmithMiddle School","60","23","14","3","78","16","4","2","N/A","N/A","N/A","N/A"
"J. HaroldBrinley MiddleSchool","52","27","18","2","71","22","5","2","N/A","N/A","N/A","N/A"
"J. MarlanWalkerInternationalElementarySchool","23","21","31","25","21","28","27","24","N/A","N/A","N/A","N/A"
"J. T.McWilliamsElementarySchool","56","19","16","9","58","23","12","7","N/A","N/A","N/A","N/A"
"Jack and TerryMannionMiddle School","18","23","37","23","35","25","21","20","N/A","N/A","N/A","N/A"
"Jack DaileyElementarySchool","45","24","19","12","57","21","12","11","N/A","N/A","N/A","N/A"
"Jack LundSchofieldMiddle School","38","27","26","10","56","25","12","7","N/A","N/A","N/A","N/A"
"Jacob E.ManchElementarySchool","61","20","14","5","73","19","6","2","N/A","N/A","N/A","N/A"
