"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"Ernest A.Becker, Sr.Middle School","36","27","24","13","50","23","15","12","N/A","N/A","N/A","N/A"
"Ernest J. MayElementarySchool","28","21","29","22","32","30","27","11","N/A","N/A","N/A","N/A"
"Estes M.McDonielElementarySchool","14","20","33","32","16","24","30","31","N/A","N/A","N/A","N/A"
"Ethel W. StatonElementarySchool","18","17","26","39","18","20","27","36","N/A","N/A","N/A","N/A"
"Eva G.SimmonsElementarySchool","37","23","26","14","42","31","18","9","N/A","N/A","N/A","N/A"
"Eva WolfeElementarySchool","38","30","20","13","46","28","18","9","N/A","N/A","N/A","N/A"
"Evelyn StuckeyElementarySchool","18","17","29","35","15","22","31","32","N/A","N/A","N/A","N/A"
"ExploreKnowledgeAcademyCharterSecondary","12","21","45","23","33","29","26","13","N/A","N/A","N/A","N/A"
"ExploreKnowledgeAcademyElementary","26","20","26","28","34","37","22","7","N/A","N/A","N/A","N/A"
"Fay GallowayElementarySchool","38","22","22","17","37","24","19","20","N/A","N/A","N/A","N/A"
"Fay HerronElementarySchool","40","24","23","13","44","22","22","13","N/A","N/A","N/A","N/A"
