"Group","Graduating Classof","Completion Indicators - Graduates","","","","","CompletionIndicators - Non-Graduates"
"","","# Adult Diploma","# AdvancedDiploma","# AlternativeDiploma","# College andCareer ReadyDiploma","# StandardDiploma","# AdjustedDiploma"
"Burk HorizonSouthwest HS","2022-2023","-","-","-","-","-","-"
"CanyonSprings HighSchool andtheLeadershipand LawPreparatoryAcademy","2022-2023","-","92","-","33","362","-"
"CentennialHigh School","2022-2023","-","131","-","70","389","-"
"ChaparralHigh School","2022-2023","-","62","-","25","354","-"
"CheyenneHigh School","2022-2023","-","35","-","14","330","-"
"Cimarron-MemorialHigh School","2022-2023","-","-","-","215","361","-"
"Clark AdultProgram","2022-2023","152","-","-","-","-","-"
"Clark CountyDetentionCenter","2022-2023","-","-","-","-","-","-"
"College ofSouthernNevada HighSchool East","2022-2023","-","-","-","52","-","-"
"College ofSouthernNevada HighSchool South","2022-2023","-","17","-","37","-","-"
"College ofSouthernNevada HighSchool West","2022-2023","-","23","-","58","11","-"
"CoronadoHigh School","2022-2023","-","235","-","242","286","-"
"CowanBehaviorJr/Sr HighSchool","2022-2023","-","-","-","-","-","-"
"CowanSunsetSoutheastHigh School","2022-2023","-","-","-","-","-","-"
"Del SolAcademy ofthePerformingArts","2022-2023","-","-","-","190","296","-"
"DeltaAcademy","2022-2023","-","29","-","-","185","-"
"Desert OasisHigh School","2022-2023","-","81","-","173","435","-"
"Desert RoseHigh School","2022-2023","-","-","-","-","80","-"
"Desert WillowSecondary","2022-2023","-","-","-","-","-","-"
