"","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","#","%","#EnglishLearners","%EnglishLearners","#FreeorReducedPricedLunchEligible","%FreeorReducedPricedLunchEligible","#IEP","%IEP","#AmIn/AKNative","%AmIn/AKNative","#Asian","%Asian","#Hispanic","%Hispanic","#Black","%Black","#White","%White","#PacificIslander","%PacificIslander","#TwoorMoreRaces","%TwoorMoreRaces","#Male","%Male","#Female","%Female","#Homeless","%Homeless","#Foster","%Foster","#MilitaryConnected","%MilitaryConnected"
"Silverado HS","89","16.3","10","24.4","89","16.3","-","-","0","<5","-","-","34","15.7","17","25.4","26","17.8","-","-","-","-","44","16.4","44","16","-","-","0","<5","0","<5"
"South ContinuationJr./Sr. Hig","15","88.2","-","-","15","88.2","-","-","N/A","N/A","-","-","-","-","-","-","-","-","-","-","N/A","N/A","11","91.7","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Spring MountainJr/Sr HS","17","94.4","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","-","-","12","92.3","-","-","N/A","N/A","-","-","17","94.4","N/A","N/A","N/A","N/A","-","-","N/A","N/A"
"Spring Valley HS","93","14.4","18","22.8","93","14.4","-","-","-","-","-","-","37","15.4","23","17.3","14","12.7","-","-","-","-","45","14.7","47","13.9","-","-","-","-","N/A","N/A"
"Stewart School","11",">95","-","-","11",">95","11",">95","N/A","N/A","N/A","N/A","-","-","-","-","-","-","N/A","N/A","-","-","-","-","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Summit View J/SHS","-","-","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","-","-","-","-","-","-","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Sunrise MountainHS","203","28.9","65","34.8","203","28.9","30","39.5","-","-","-","-","142","26.4","41","44.6","-","-","-","-","-","-","120","30.7","83","26.7","14","56","0","<5","-","-"
"SW CTA","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","0","<5"
"Valley HS","238","37.1","93","45.6","238","37.1","36","49.3","-","-","-","-","162","36.2","46","46","13","38.2","-","-","-","-","147","40.8","91","32.3","16","69.6","-","-","N/A","N/A"
"Variety SEC","-","-","-","-","-","-","-","-","N/A","N/A","N/A","N/A","-","-","-","-","-","-","N/A","N/A","-","-","-","-","-","-","N/A","N/A","-","-","N/A","N/A"
"Virgin Valley HS","16","8.1","-","-","16","8.1","-","-","N/A","N/A","-","-","-","-","0","<5","-","-","0","<5","-","-","-","-","11","12","N/A","N/A","N/A","N/A","N/A","N/A"
"VT CTA","-","-","-","-","-","-","0","<5","N/A","N/A","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","-","-","N/A","N/A","N/A","N/A","0","<5"
"West CTA","0","<5","0","<5","0","<5","0","<5","N/A","N/A","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","0","<5"
"West Prep Sec","-","-","-","-","-","-","-","-","N/A","N/A","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Western HS","228","31.5","93","42.3","228","31.5","35","33.7","N/A","N/A","-","-","168","29.8","40","40.8","-","-","-","-","-","-","131","34.1","97","28.6","-","-","-","-","N/A","N/A"
