"","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","#","%","#EnglishLearners","%EnglishLearners","#FreeorReducedPricedLunchEligible","%FreeorReducedPricedLunchEligible","#IEP","%IEP","#AmIn/AKNative","%AmIn/AKNative","#Asian","%Asian","#Hispanic","%Hispanic","#Black","%Black","#White","%White","#PacificIslander","%PacificIslander","#TwoorMoreRaces","%TwoorMoreRaces","#Male","%Male","#Female","%Female","#Homeless","%Homeless","#Foster","%Foster","#MilitaryConnected","%MilitaryConnected"
"Desert Pines HS","115","18.4","56","27.1","115","18.4","22","25.9","-","-","-","-","88","17.9","19","21.1","-","-","-","-","-","-","61","19.6","54","17.3","-","-","-","-","0","<5"
"Desert Rose HS","64","61.5","-","-","64","61.5","-","-","-","-","N/A","N/A","29","54.7","25","67.6","-","-","N/A","N/A","-","-","33","66","31","57.4","0","<5","-","-","N/A","N/A"
"Desert WillowSecondary","-","-","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Durango HS","76","15.2","11","15.1","76","15.2","10","19.6","0","<5","-","-","33","15.6","18","20.5","14","17.5","-","-","-","-","36","13.3","40","17.5","-","-","0","<5","0","<5"
"East CTA","-","-","0","<5","-","-","0","<5","N/A","N/A","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","-","-","-","-","0","<5","N/A","N/A","0","<5"
"Eldorado HS","58","12.4","17","15","58","12.4","11","18.6","0","<5","0","<5","45","12.8","-","-","-","-","0","<5","-","-","31","12.3","27","12.4","-","-","-","-","0","<5"
"Explore KnowledgeSEC","0","<5","0","<5","N/A","N/A","0","<5","N/A","N/A","0","<5","0","<5","0","<5","0","<5","N/A","N/A","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Foothill HS","50","10.4","-","-","50","10.4","12","20","0","<5","-","-","22","16.4","-","-","15","6.3","0","<5","-","-","29","11.7","21","9","-","-","N/A","N/A","0","<5"
"Global CommunityHigh school","14","19.7","14","20.6","14","19.7","N/A","N/A","N/A","N/A","-","-","12","17.6","N/A","N/A","-","-","N/A","N/A","N/A","N/A","11","27.5","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Green Valley HS","42","6.8","-","-","42","6.8","-","-","-","-","-","-","11","<5","13","20.6","10","<5","0","<5","-","-","28","8.8","13","<5","-","-","0","<5","-","-"
"Indian Springs HS","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Innovations CharterSEC","0","<5","0","<5","0","<5","0","<5","N/A","N/A","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
