"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"Mountain ViewElementarySchool","58","22","14","7","57","23","14","5","N/A","N/A","N/A","N/A"
"Myrtle TateElementarySchool","38","27","22","13","45","22","17","16","N/A","N/A","N/A","N/A"
"Nate MackElementarySchool","21","23","25","30","22","20","34","24","N/A","N/A","N/A","N/A"
"Neil C.TwitchellElementarySchool","17","17","23","42","14","25","25","36","N/A","N/A","N/A","N/A"
"NevadaLearningAcademy atCCSD","43","27","24","6","68","22","7","3","N/A","N/A","N/A","N/A"
"NV LearningAcademy ES","58","20","11","10","66","18","11","5","N/A","N/A","N/A","N/A"
"O. K. AdcockElementarySchool","40","25","19","15","44","23","15","18","N/A","N/A","N/A","N/A"
"OdysseyCharterElementarySchool","20","23","31","26","38","29","20","13","N/A","N/A","N/A","N/A"
"OdysseyCharter School6-8","19","29","35","17","38","29","19","14","N/A","N/A","N/A","N/A"
"Ollie DetwilerElementarySchool","67","17","11","5","64","22","10","3","N/A","N/A","N/A","N/A"
"Oran K.GragsonElementarySchool","42","25","23","10","60","24","13","4","N/A","N/A","N/A","N/A"
