"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"W. Mack LyonMiddle School","21","24","38","18","19","23","28","30","N/A","N/A","N/A","N/A"
"Walter BrackenScience, Tech,Engg, the Arts,and Math(STEAM)Academy","16","19","33","32","26","26","21","26","N/A","N/A","N/A","N/A"
"WalterJacobsonElementarySchool","37","21","24","17","38","33","17","12","N/A","N/A","N/A","N/A"
"WalterJohnsonAcademy ofInternationalStudies","30","23","32","15","45","25","18","12","N/A","N/A","N/A","N/A"
"Walter V. LongElementarySchool","49","25","20","6","56","24","12","8","N/A","N/A","N/A","N/A"
"Wayne N.TanakaElementarySchool","29","17","25","29","30","21","19","31","N/A","N/A","N/A","N/A"
"Wendell P.WilliamsElementarySchool","74","12","10","5","71","17","7","5","N/A","N/A","N/A","N/A"
"WestPreparatoryAcademy atCharles I. WestHall","52","24","20","3","68","21","7","4","N/A","N/A","N/A","N/A"
"WestPreparatoryAcademy atCharles I. WestHallElementarySchool","32","22","27","19","34","31","23","13","N/A","N/A","N/A","N/A"
