"","English/ Reading/Lang. Arts","Mathematics","Science","Social Studies","Foreign Languages","Arts","Elementary","Poverty Level (H/ L)"
"","%","%","%","%","%","%","%",""
"Stewart School","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Stuckey ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Summit View J/SHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Sunrise Acres ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Sunrise MountainHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"SW CTA","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Swainston MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Tanaka ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Tarkanian MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Tarr ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Tartan ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Tate ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Taylor (Glen) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Taylor (Robert) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Thiriot ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Thomas ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Thompson ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Thompson, TyroneES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Thorpe ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Tobler ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Tomiyasu ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Treem ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Triggs ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Twin Lakes ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Twitchell ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Ullom ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Valley HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Vanderburg ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Variety ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Variety SEC","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Vassiliadis ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Vegas Verdes ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Virgin Valley ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Virgin Valley HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Von Tobel MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"VT CTA","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"WalkerInternational ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Wallin ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Ward (Gene) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Ward (Kitty) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Warren ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Wasden ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Watson ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Webb MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Wengert ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"West CTA","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"West Prep ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"West Prep Sec","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Western HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"White MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Whitney ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Wiener ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Wilhelm ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Williams (Tom) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Williams (Wendell)ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Wolfe (Eva) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Wolff (Elise) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
