"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"ParadiseProfessionalDevelopmentElementarySchool","43","27","20","10","53","25","13","10","N/A","N/A","N/A","N/A"
"Pat A. DiskinElementarySchool","31","25","25","19","34","27","26","13","N/A","N/A","N/A","N/A"
"Patricia A.BendorfElementarySchool","43","17","23","18","46","21","20","12","N/A","N/A","N/A","N/A"
"Paul E. CulleyElementarySchool","47","19","21","13","49","27","17","7","N/A","N/A","N/A","N/A"
"PetersonBehavior Jr./Sr.High School","83","9","8","0","93","2","3","1","N/A","N/A","N/A","N/A"
"QuannahMcCallElementarySchool","56","18","19","7","51","22","18","8","N/A","N/A","N/A","N/A"
"Quest Program","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"R. E. ToblerElementarySchool","22","27","30","21","34","28","25","14","N/A","N/A","N/A","N/A"
"R. Guild GrayElementarySchool","40","22","20","18","46","26","17","11","N/A","N/A","N/A","N/A"
"RalphCadwalladerMiddle School","32","25","31","12","34","25","23","18","N/A","N/A","N/A","N/A"
"Raul P.ElizondoElementarySchool","54","19","17","10","59","25","10","5","N/A","N/A","N/A","N/A"
"Red RockElementarySchool","51","22","22","6","44","30","18","8","N/A","N/A","N/A","N/A"
