"100 Academy ES","K-5","5","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"100 Academy MS","6-8","N/A","N/A","1","0","1","0","1","0","0","0"
"A-TECH","9-12","N/A","N/A","0","35","0","37","0","41","0","44"
"Abston, Sandra B ES","0K-","13","131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Acceleration Academy","09-12","N/A","N/A","0","0","0","0","0","0","0","0"
"Adams ES","K-5","2","60","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Adcock ES","K-5","2","149","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Adult Ed","AD-AD","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Alamo ES","PK-5","5","293","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Allen ES","PK-5","8","108","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Antonello ES","PK-5","18","94","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Arbor View HS","9-12","N/A","N/A","0","76","1","169","0","82","4","165"
"Bailey (Sister) ES","PK-5","8","156","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bailey MS","6-8","N/A","N/A","2","6","5","9","0","3","2","15"
"Bartlett ES","PK-5","6","271","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Basic HS","9-12","N/A","N/A","1","70","3","63","1","75","1","116"
"Bass ES","PK-5","4","156","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Batterman ES","PK-5","0","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Beatty ES","PK-5","5","221","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Becker MS","6-8","N/A","N/A","0","24","1","31","0","15","2","32"
"Beckley ES","PK-5","7","227","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
