"School Name","Stars"
"Simmons ES","1"
"Smith Helen ES","2"
"Squires ES","1"
"Steele ES","2"
"Stuckey ES","5"
"Tarr ES","3"
"Taylor G ES","4"
"Thomas ES","1"
"Thorpe ES","2"
"Tomiyasu ES","2"
"Twin Lakes ES","2"
"Vanderburg ES","4"
"Vegas Verdes ES","2"
"Wallin ES","4"
"Wasden ES","2"
"West Prep ES","3"
"Wilhelm ES","2"
"Wolfe ES","2"
"Wright ES","2"
"Bailey MS","1"
"Brinley MS","2"
"Cadwallader MS","3"
"Cashman MS","1"
"Cowan Behavior MS","NR"
"Desert Willow JSHSMS","NR"
"Faiss MS","3"
"Fremont MS","2"
"Gibson MS","2"
"Gunderson MS","5"
"Hyde Park MS","3"
"Johnson JHS MS","3"
"Keller MS","1"
"Lawrence JHS MS","2"
"Lyon MS","5"
"Mannion MS","3"
"Miller John F MS","1"
"Molasky JHS MS","1"
"OCallaghan i3 ACADMS","5"
"Peterson BehaviorMS","NR"
"Sandy Valley JSHSMS","2"
"Schofield MS","2"
"Smith MS","1"
"Stewart MS","1"
"Tarkanian MS","4"
"Webb MS","3"
"Woodbury MS","1"
"Arbor View HS","4"
