""
"Red Rock ES"
"Reed ES"
"Reedom ES"
"Reid ES"
"Rhodes ES"
"Ries ES"
"Roberts ES"
"Robison MS"
"Rogers ES"
"Rogich MS"
"Ronnow ES"
"Ronzone ES"
"Roundy ES"
"Rowe ES"
"Rundle ES"
"Sandy Valley ES"
"Sandy Valley Jr/Sr HS"
"Saville MS"
"Sawyer MS"
"Scherkenbach ES"
"Schofield MS"
"Schorr ES"
"Scott ES"
"SE CTA"
"SECTA PK"
"Sedway MS"
"Sewell ES"
"Shadow Ridge HS"
"Shirley A BarberElementary"
"Sierra Vista HS"
"Silverado HS"
"Silvestri JHS"
"Simmons ES"
"Smalley ES"
"Smith (Hal) ES"
"Smith (Helen) ES"
"Smith (J.D.) MS"
"Snyder ES"
"Snyder ES"
"South ContinuationJr./Sr. Hig"
"Spring Mountain Jr/SrHS"
"Spring Valley HS"
"Squires ES"
"Stanford ES"
"Staton ES"
"Steele ES"
"Stevens ElementarySchool"
"Stewart School"
"Stuckey ES"
"Summit View J/SHS"
"Sunrise Acres ES"
"Sunrise Mountain HS"
"SW CTA"
"Swainston MS"
"Tanaka ES"
"Tarkanian MS"
"Tarr ES"
"Tartan ES"
"Tate ES"
"Taylor (Glen) ES"
"Taylor (Robert) ES"
"Thiriot ES"
"Thomas ES"
"Thompson ES"
