"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"Sandy SearlesMiller AcademyforInternationalStudies an IBWorld School","32","23","25","19","34","29","25","12","N/A","N/A","N/A","N/A"
"Sandy ValleyElementarySchool","32","24","29","15","40","24","29","6","N/A","N/A","N/A","N/A"
"Sandy ValleyJr/Sr HighSchool","41","38","16","5","45","34","15","6","N/A","N/A","N/A","N/A"
"Selma F.BartlettElementarySchool","26","18","27","29","28","24","23","25","N/A","N/A","N/A","N/A"
"Sheila R. TarrElementarySchool","17","21","32","30","20","24","28","28","N/A","N/A","N/A","N/A"
"Shelley BerkleyElementarySchool","25","17","27","32","25","23","26","26","N/A","N/A","N/A","N/A"
"Shirley ABarberElementary","25","24","29","21","25","30","25","21","N/A","N/A","N/A","N/A"
"Shirley and BillWallinElementarySchool","13","16","30","42","13","15","33","39","N/A","N/A","N/A","N/A"
"Sig RogichMiddle School","13","20","37","29","20","24","24","31","N/A","N/A","N/A","N/A"
"Sister RobertJoseph BaileyElementarySchool","42","22","24","11","48","26","17","9","N/A","N/A","N/A","N/A"
"SouthContinuationJr./Sr. HighSchool","82","11","5","2","88","10","1","1","N/A","N/A","N/A","N/A"
