"","Transiency Rate**"
"Dennis OrtweinElementary","20.5"
"Derfelt ES","33"
"Desert Oasis HS","17.4"
"Desert Pines HS","28.3"
"Desert Rose HS","72.3"
"Desert Willow ES","100"
"Desert Willow Secondary","128.6"
"Deskin ES","23.7"
"Detwiler ES","40.9"
"Diaz ES","28.8"
"Dickens ES","22.8"
"Diskin ES","24.4"
"Dondero ES","19.7"
"Dooley ES","21.4"
"Duncan ES","27.1"
"Durango HS","25.4"
"Earl (Ira) ES","27.5"
"Earl (Marion) ES","30.5"
"Early Childhood Program","57.1"
"East CTA","2.5"
"Edwards ES","23.7"
"Eisenberg ES","22.1"
"Eldorado HS","25.8"
"Elizondo ES","35.2"
"Ellis ES","11.7"
"Escobedo MS","25.6"
"Explore Knowledge ES","16.7"
"Explore Knowledge SEC","13.7"
"Faiss MS","18.8"
"Ferron ES","29.3"
"Fertitta MS","18.1"
"Findlay MS","23.6"
"Fine ES","21.6"
"Fitzgerald ES","29.2"
"Fong ES","36.6"
"Foothill HS","14"
"Forbuss ES","17.3"
"Fremont MS","4.8"
"French ES","30.7"
"Frias ES","16.1"
"Galloway ES","21.2"
"Garehime ES","29.6"
"Garrett JHS","10.7"
"Garside JHS","24.8"
"Gehring ES","4.4"
"Gibson (James) ES","18.2"
"Gibson (Robert) MS","15.4"
"Gilbert ES","6.4"
"Givens ES","13.2"
"Global Community Highschool","32.1"
"Goldfarb ES","25.2"
"Goodsprings ES","0"
"Goolsby ES","14.6"
"Goynes ES","14"
"Gragson ES","29.4"
"Gray ES","40.1"
"Green Valley HS","18.1"
"Greenspun JHS","17.7"
"Griffith ES","24.7"
"Guinn MS","16.8"
"Gunderson, Barry andJune MS","14.1"
"Guy ES","20.3"
"Hancock ES","34.3"
