"","Transiency Rate**"
"Harmon ES","21.1"
"Harney MS","31.1"
"Harris ES","32.8"
"Hayden ES","29.8"
"Hayes ES","23"
"Heard Academy ES","5.2"
"Heckethorn ES","13.8"
"Herr ES","22.4"
"Herron ES","21.9"
"Hewetson ES","27.8"
"Hickey ES","27.4"
"Hill ES","25.3"
"Hinman ES","32.3"
"Hoggard ES","3.5"
"Hollingsworth ES","42.8"
"Hughes MS","14.1"
"Hummel ES","33.5"
"Hyde Park MS","15.1"
"Indian Springs ES","25.3"
"Indian Springs HS","11.1"
"Indian Springs MS","23.3"
"Innovations Charter SEC","20.2"
"Innovations InternationalES","20.3"
"Iverson ES","19.6"
"Jacobson ES","28.6"
"Jeffers ES","27.8"
"Jenkins, Earl N ES","25.9"
"Johnson JHS","22.3"
"Johnston MS","38"
"Juvenile Detention 3-12","180.4"
"Jydstrup ES","40.2"
"Kahre ES","34.4"
"Katz ES","38.6"
"Keller ES","33.8"
"Keller (Duane) MS","28.7"
"Kelly ES","45.8"
"Kenneth DivichElementary","10"
"Kesterson ES","21.5"
"Kim ES","20.7"
"King (Martha) ES","10.8"
"King (Martin Luther Jr) ES","26.7"
"Knudson MS","13.4"
"Lake ES","32.6"
"Lamping ES","11.5"
"Las Vegas Academy","3.1"
"Las Vegas HS","15.7"
"Laughlin Jr/Sr HS","23.3"
"Lawrence JHS","25.4"
"Leavitt MS","21.1"
"Legacy HS","26.3"
"Liberty HS","14.9"
"Lied MS","1.7"
"Lincoln ES","21.6"
"Long ES","34.9"
"Lowman ES","48.2"
"Lummis ES","18.8"
"Lundy ES","N/A"
"Lunt ES","36.8"
"Lynch ES","40.1"
"Lyon MS","10.5"
"Mack (Jerome) MS","40.6"
"Mack (Nate) ES","22.2"
"Mackey ES","2.2"
