"","Transiency Rate**"
"Mackey, Jo MS","7.4"
"Manch ES","48"
"Mannion MS","11.8"
"Martin MS","29.1"
"Martinez ES","35.6"
"Mathis ES","16.1"
"May ES","20.7"
"McCall ES","31.3"
"McCaw ES","6.5"
"McDoniel ES","28.7"
"McMillan ES","37.1"
"McWilliams ES","26.5"
"Mendoza ES","17.3"
"Miley Achievement CenterES","66.7"
"Miley Achievement CenterSec","74.1"
"Miller (Bob) MS","10.4"
"Miller (John) School","26.8"
"Miller (Sandy) ES","9.1"
"Mission High School","59.3"
"Mitchell ES","11.3"
"Moapa Valley HS","8.2"
"Mojave HS","27.9"
"Molasky JHS","27.6"
"Monaco MS","31.9"
"Moore ES","28.3"
"Morris Sunset East HS","135.3"
"Morrow ES","16.7"
"Mountain View ES","31.5"
"Neal ES","21.6"
"NECTA HS","7.7"
"Nevada LearningAcademy","58.1"
"Newton ES","26.7"
"NV Learning Academy ES","32.6"
"NW CTA","2.4"
"NW CTA ES","5.9"
"O'Callaghan MS","2"
"O'Roarke ES","11.7"
"Ober ES","27.6"
"Odyssey Charter ES","32.3"
"Odyssey Charter HS","19.5"
"Odyssey Charter MS","21.6"
"Orr MS","48.6"
"Palo Verde HS","16.5"
"Paradise PDS","44.4"
"Park ES","40.8"
"Parson ES","43.9"
"Perkins (Dr. Claude G.)ES","30.2"
"Perkins (Ute) ES","16.3"
"Petersen ES","52.7"
"Peterson Behavior Jr./Sr.HS","139"
"Piggott ES","4.1"
"Pittman ES","27.8"
"Priest ES","21.3"
"Quest Program","104.3"
"Rainbow DreamsAcademy","14.8"
"Rancho HS","15.5"
"Red Rock ES","33.9"
"Reed ES","36.7"
"Reedom ES","21.5"
"Reid ES","16.7"
"Rhodes ES","19.8"
