"","Grade Level","Subjects","","","","","","","","",""
"Christensen ES","PK-5","8","160","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cimarron-Memorial HS","9-12","N/A","N/A","0","117","1","91","1","65","2","184"
"Clark HS","9-12","N/A","N/A","2","133","0","120","1","112","2","166"
"Conners ES","PK-5","8","169","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Coronado HS","9-12","N/A","N/A","0","74","1","103","0","103","3","119"
"Cortez ES","PK-5","14","140","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cortney JHS","6-8","N/A","N/A","0","13","3","10","0","17","0","83"
"Cowan Behavior Jr/Sr HS","6-12","N/A","N/A","0","11","0","10","0","8","0","29"
"Cowan Sunset SE HS","9-12","N/A","N/A","0","0","0","0","0","0","0","0"
"Cox (Clyde) ES","PK-5","9","173","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cox (David) ES","K-5","3","278","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cozine ES","PK-5","5","295","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Craig ES","PK-5","20","29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cram MS","6-8","N/A","N/A","1","54","0","16","1","20","0","18"
"Crestwood ES","PK-5","6","75","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"CSNHS East","11-12","N/A","N/A","0","1","1","103","0","13","0","9"
"CSNHS South","11-12","N/A","N/A","0","21","0","0","0","11","0","15"
"CSNHS West","11-12","N/A","N/A","0","0","0","0","0","14","0","17"
"CTTA","09-12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Culley ES","PK-5","24","179","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cunningham ES","PK-5","22","104","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Dailey ES","PK-5","11","219","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
