"100 Academy ES","94.7"
"100 Academy MS","96.9"
"A-TECH","74.6"
"Abston, Sandra B ES","74.6"
"Acceleration Academy","100"
"Adams ES","70.1"
"Adcock ES","81.6"
"Adult Ed","62.8"
"Alamo ES","70.6"
"Allen ES","72.5"
"Antonello ES","72.3"
"Arbor View HS","71.4"
"Bailey (Sister) ES","67.7"
"Bailey MS","67.6"
"Bartlett ES","70.2"
"Basic HS","74.6"
"Bass ES","76"
"Batterman ES","75"
"Beatty ES","67.7"
"Becker MS","73"
"Beckley ES","65.6"
"Bell ES","70.7"
"Bendorf ES","65.8"
"Bennett ES","68.2"
"Berkley ES","74.9"
"Bilbray ES","71"
"Blackhurst ES","76.5"
"Blue Diamond ES","64"
"Bonanza HS","71.9"
"Bonner ES","75.4"
"Booker ES","65.7"
"Boulder City HS","68.8"
"Bowler (Grant) ES","70.3"
"Bowler (Joseph) ES","69.5"
"Bozarth ES","71"
"Bracken ES","75.1"
"Bridger MS","72.7"
"Brinley MS","65.7"
"Brookman ES","70.9"
"Brown JHS","67.3"
