"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"Kathy L.BattermanElementarySchool","17","20","28","35","17","24","28","32","N/A","N/A","N/A","N/A"
"Kay CarlElementarySchool","37","21","25","17","39","27","22","12","N/A","N/A","N/A","N/A"
"Keith C. andKaren W.HayesElementarySchool","24","23","26","28","30","23","25","22","N/A","N/A","N/A","N/A"
"Kenneth DivichElementary","22","22","28","28","19","25","30","26","N/A","N/A","N/A","N/A"
"Kenny C.Guinn MiddleSchool","34","24","28","14","51","22","14","13","N/A","N/A","N/A","N/A"
"KermitRooseveltBooker, Sr.InnovativeElementarySchool","61","17","15","7","55","29","9","7","N/A","N/A","N/A","N/A"
"Kirk AdamsElementarySchool","49","22","17","12","54","24","13","9","N/A","N/A","N/A","N/A"
"Kit CarsonInternationalAcademy","37","15","27","21","40","21","24","15","N/A","N/A","N/A","N/A"
"KittyMcDonoughWardElementarySchool","18","25","23","34","22","24","27","27","N/A","N/A","N/A","N/A"
"Laughlin Jr/SrHigh School","44","23","26","8","60","23","9","7","N/A","N/A","N/A","N/A"
"Laura DearingElementarySchool","61","19","15","5","68","16","14","1","N/A","N/A","N/A","N/A"
