"School Name","Stars"
"Smith Hal ES","1"
"Snyder W ES","1"
"Staton ES","4"
"Stewart ES","1"
"Tanaka ES","3"
"Tate ES","2"
"Thiriot ES","3"
"Thompson T ES","3"
"Toland ES","2"
"Triggs ES","3"
"Ullom ES","2"
"Vassiliadis ES","5"
"Walker ES","2"
"Warren ES","2"
"Wengert ES","2"
"Wiener ES","2"
"Williams W ES","1"
"Woolley ES","1"
"100 Academy SETMS","2"
"Bridger MS","2"
"Burkholder MS","2"
"Cannon JHS MS","1"
"Cortney JHS MS","1"
"Delta Charter MS","1"
"Expl Knowledge SECMS","5"
"Findlay MS","1"
"Garside MS","1"
"Guinn MS","2"
"Hughes MS","3"
"Innovations SEC MS","1"
"Juvenile Court MS","NR"
"Laughlin JSHS MS","1"
"Lied STEM ACAD MS","5"
"Mackey MS","5"
"Miley Achvmt SECMS","1"
"Mission MS","NR"
"NV LRN Academy MS","1"
"Orr MS","1"
"Rogich MS","5"
"Sawyer MS","3"
"Silvestri JHS MS","1"
"Spring Mtn JSHS MS","NR"
"Swainston MS","1"
"Von Tobel MS","1"
"White MS","4"
"Adv Tech ACAD HS","5"
"Bonanza HS","2"
