"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"Rex BellElementarySchool","58","20","12","10","59","24","11","6","N/A","N/A","N/A","N/A"
"ReynaldoMartinezElementarySchool","59","18","15","8","63","18","12","7","N/A","N/A","N/A","N/A"
"Richard C.PriestElementarySchool","38","26","19","17","41","27","20","12","N/A","N/A","N/A","N/A"
"Richard H.BryanElementarySchool","24","23","29","25","33","28","22","17","N/A","N/A","N/A","N/A"
"Richard J.RundleElementarySchool","50","20","17","13","53","24","16","8","N/A","N/A","N/A","N/A"
"Robert andSandy EllisElementary","15","22","27","36","13","25","27","35","N/A","N/A","N/A","N/A"
"Robert E. LakeElementarySchool","55","22","15","8","54","30","10","6","N/A","N/A","N/A","N/A"
"Robert L.ForbussElementarySchool","21","26","29","24","24","28","27","22","N/A","N/A","N/A","N/A"
"Robert L.TaylorElementarySchool","70","12","12","6","59","24","15","3","N/A","N/A","N/A","N/A"
"Robert LuntElementarySchool","60","26","10","4","65","21","9","4","N/A","N/A","N/A","N/A"
"Robert O.Gibson MiddleSchool","43","27","24","6","59","27","10","4","N/A","N/A","N/A","N/A"
