"A-TECH","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","0","<5"
"AccelerationAcademy","769","73.8","140","81.4","769","73.8","-","-","-","-","13","59.1","411","77.3","188","75.8","99","66.9","-","-","47","65.3","348","76.3","421","71.8","23","71.9","-","-","-","-"
"Arbor View HS","48","6.2","0","<5","48","6.2","13","16.7","0","<5","-","-","14","6.2","15","14.7","15","<5","0","<5","-","-","27","6.8","21","5.5","-","-","N/A","N/A","-","-"
"Basic HS","65","11.7","-","-","65","11.7","10","12","0","<5","-","-","22","9.7","24","22.6","13","8.7","-","-","-","-","44","15.4","21","7.8","-","-","0","<5","0","<5"
"Bonanza HS","66","12.6","21","19.3","66","12.6","-","-","0","<5","-","-","44","12.9","13","19.1","-","-","-","-","-","-","39","13.8","27","11.3","-","-","N/A","N/A","0","<5"
"Boulder City HS","11","6.7","0","<5","11","6.7","0","<5","-","-","-","-","-","-","N/A","N/A","-","-","0","<5","0","<5","-","-","-","-","0","<5","0","<5","N/A","N/A"
"Burk Horizon SWHS","-","-","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","-","-","N/A","N/A","N/A","N/A","0","<5","-","-","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Canyon Springs HS","53","9.6","15","11.2","53","9.6","-","-","0","<5","0","<5","35","9.3","13","9.6","-","-","-","-","-","-","26","9.3","27","10","-","-","0","<5","-","-"
"CC Detention","20",">95","-","-","N/A","N/A","-","-","N/A","N/A","N/A","N/A","-","-","-","-","-","-","N/A","N/A","-","-","19","95","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Centennial HS","58","8.9","-","-","58","8.9","-","-","0","<5","0","<5","18","7.8","17","13.7","16","8.4","0","<5","-","-","34","10.8","24","7.1","0","<5","-","-","0","<5"
"Chaparral HS","60","13.2","21","16.5","60","13.2","10","15.6","0","<5","0","<5","38","12.4","17","20.5","-","-","-","-","-","-","31","13.5","29","13","-","-","-","-","N/A","N/A"
"Cheyenne HS","65","14.6","20","23.5","65","14.6","13","21.3","0","<5","-","-","36","13.8","17","17.3","-","-","-","-","-","-","37","16.9","28","12.4","-","-","0","<5","0","<5"
"Cimarron-MemorialHS","34","5.9","11","10","34","5.9","-","-","0","<5","-","-","17","5.2","-","-","-","-","0","<5","-","-","21","6.8","13","<5","-","-","-","-","0","<5"
"Clark HS","82","12.7","39","23.9","82","12.7","-","-","0","<5","-","-","63","16.6","10","14.7","-","-","0","<5","-","-","48","14.7","34","10.7","-","-","-","-","N/A","N/A"
"Coronado HS","36","<5","-","-","36","<5","10","15.2","-","-","0","<5","11","6.1","-","-","16","<5","0","<5","-","-","25","7","11","<5","-","-","N/A","N/A","0","<5"
"Cowan BehaviorJr/Sr HS","-","-","-","-","-","-","0","<5","N/A","N/A","N/A","N/A","-","-","0","<5","N/A","N/A","N/A","N/A","0","<5","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cowan Sunset SEHS","-","-","N/A","N/A","N/A","N/A","0","<5","N/A","N/A","N/A","N/A","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"CSNHS East","0","<5","0","<5","N/A","N/A","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A"
"CSNHS South","0","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"CSNHS West","0","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","0","<5"
"CTTA","-","-","0","<5","-","-","0","<5","N/A","N/A","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A"
"Del Sol Academy","47","8.1","15","12.2","47","8.1","-","-","0","<5","-","-","27","6.9","15","20","-","-","0","<5","-","-","32","11.1","15","5.2","10","41.7","-","-","0","<5"
"Delta Academy","45","21.7","-","-","45","21.7","-","-","0","<5","0","<5","16","20.5","14","30.4","13","21.3","0","<5","-","-","24","24.7","21","19.1","-","-","0","<5","0","<5"
"Desert Oasis HS","41","5.4","-","-","41","5.4","-","-","0","<5","-","-","13","6.6","11","11.8","-","-","-","-","-","-","15","<5","26","7.2","-","-","0","<5","0","<5"
