"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"Louis Wiener,Jr. ElementarySchool","44","18","24","13","40","32","16","11","N/A","N/A","N/A","N/A"
"Lucile S.BrunerElementarySchool","50","22","17","11","59","20","14","7","N/A","N/A","N/A","N/A"
"Lucille S.RogersElementarySchool","35","20","25","19","33","25","27","15","N/A","N/A","N/A","N/A"
"LyalBurkholderMiddle School","42","27","25","7","58","25","10","7","N/A","N/A","N/A","N/A"
"M. J.ChristensenElementarySchool","33","25","24","18","40","27","23","10","N/A","N/A","N/A","N/A"
"Mabel HoggardMathematicsand ScienceMagnetElementarySchool","20","19","30","31","23","21","29","28","N/A","N/A","N/A","N/A"
"Mackey, Jo MS","13","25","41","21","42","28","18","12","N/A","N/A","N/A","N/A"
"Manuel J.CortezElementarySchool","46","27","19","8","45","28","16","11","N/A","N/A","N/A","N/A"
"Marc A. KahreElementarySchool","38","25","26","11","40","30","17","13","N/A","N/A","N/A","N/A"
"Mario C. andJoanneMonaco MiddleSchool","50","29","17","4","71","19","8","2","N/A","N/A","N/A","N/A"
"Marion B. EarlElementarySchool","38","28","23","11","38","32","18","12","N/A","N/A","N/A","N/A"
