"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"WhitneyElementarySchool","40","28","20","12","47","32","17","4","N/A","N/A","N/A","N/A"
"Wilbur andTheresa FaissMiddle School","32","25","30","14","40","25","20","15","N/A","N/A","N/A","N/A"
"Will BeckleyElementarySchool","58","20","15","6","56","27","14","3","N/A","N/A","N/A","N/A"
"William andMaryScherkenbachElementarySchool","18","18","36","29","20","26","30","24","N/A","N/A","N/A","N/A"
"William E.FerronElementarySchool","41","22","24","14","47","20","18","15","N/A","N/A","N/A","N/A"
"William E. OrrMiddle School","61","23","12","3","78","14","6","2","N/A","N/A","N/A","N/A"
"William E.SnyderElementary","49","27","15","9","48","31","13","8","N/A","N/A","N/A","N/A"
"William G.BennettElementarySchool","60","19","13","7","60","23","11","5","N/A","N/A","N/A","N/A"
"William K.MooreElementarySchool","55","19","17","10","57","19","14","10","N/A","N/A","N/A","N/A"
"William R.LummisElementarySchool","15","23","28","33","22","21","27","30","N/A","N/A","N/A","N/A"
"William V.WrightElementarySchool","22","21","33","24","34","27","25","14","N/A","N/A","N/A","N/A"
