"","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","#","%","#EnglishLearners","%EnglishLearners","#FreeorReducedPricedLunchEligible","%FreeorReducedPricedLunchEligible","#IEP","%IEP","#AmIn/AKNative","%AmIn/AKNative","#Asian","%Asian","#Hispanic","%Hispanic","#Black","%Black","#White","%White","#PacificIslander","%PacificIslander","#TwoorMoreRaces","%TwoorMoreRaces","#Male","%Male","#Female","%Female","#Homeless","%Homeless","#Foster","%Foster","#MilitaryConnected","%MilitaryConnected"
"Las VegasAcademy","-","-","0","<5","-","-","0","<5","0","<5","0","<5","-","-","-","-","0","<5","0","<5","-","-","-","-","-","-","0","<5","N/A","N/A","0","<5"
"Las Vegas HS","134","24.6","42","33.9","134","24.6","16","25","0","<5","-","-","97","24.9","21","31.3","-","-","0","<5","-","-","80","28","54","20.8","-","-","-","-","0","<5"
"Laughlin Jr/Sr HS","10","18.5","0","<5","10","18.5","-","-","N/A","N/A","0","<5","-","-","0","<5","-","-","N/A","N/A","0","<5","-","-","-","-","-","-","N/A","N/A","N/A","N/A"
"Legacy HS","208","35.9","23","41.1","208","35.9","17","23","-","-","-","-","88","35.1","76","41.1","19","30.2","-","-","15","32.6","108","34.6","100","37.3","10","43.5","-","-","-","-"
"Liberty HS","90","10.7","-","-","90","10.7","-","-","0","<5","-","-","38","14.3","21","17.8","14","6.6","-","-","10","9.1","55","12.6","35","8.7","-","-","-","-","0","<5"
"Miley AchievementCenter Sec","-","-","N/A","N/A","-","-","-","-","N/A","N/A","N/A","N/A","N/A","N/A","-","-","0","<5","N/A","N/A","-","-","-","-","-","-","0","<5","-","-","N/A","N/A"
"Miller (John)School","11",">95","-","-","11",">95","11",">95","N/A","N/A","N/A","N/A","-","-","-","-","-","-","N/A","N/A","N/A","N/A","-","-","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Mission HighSchool","-","-","-","-","-","-","N/A","N/A","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Moapa Valley HS","14","8.9","0","<5","14","8.9","-","-","-","-","-","-","-","-","0","<5","-","-","N/A","N/A","-","-","-","-","-","-","0","<5","N/A","N/A","0","<5"
"Mojave HS","191","31.5","44","33.3","191","31.5","27","27.3","N/A","N/A","-","-","107","30.7","67","41.9","-","-","-","-","-","-","91","29.2","100","34","-","-","-","-","-","-"
"Morris Sunset EastHS","-","-","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","0","<5","0","<5","-","-","N/A","N/A","N/A","N/A","0","<5","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"NECTA HS","63","12.1","-","-","63","12.1","-","-","N/A","N/A","-","-","30","12","10","11","12","11.7","-","-","-","-","39","14","24","10","0","<5","0","<5","-","-"
"Nevada LearningAcademy","189","49.7","29","55.8","N/A","N/A","41","44.1","-","-","-","-","87","47.8","47","58","26","47.3","-","-","14","53.8","89","49.2","100","50.3","-","-","N/A","N/A","N/A","N/A"
"NW CTA","13","<5","-","-","13","<5","-","-","0","<5","-","-","-","-","-","-","-","-","0","<5","0","<5","-","-","-","-","0","<5","0","<5","-","-"
"Odyssey CharterHS","21","8.2","-","-","N/A","N/A","-","-","0","<5","-","-","10","9.9","-","-","-","-","0","<5","-","-","-","-","12","9.1","N/A","N/A","N/A","N/A","0","<5"
"Palo Verde HS","114","16.1","13","28.9","114","16.1","11","14.9","0","<5","-","-","50","25.9","15","25.4","29","9.8","-","-","13","16.3","61","15.9","53","16.4","-","-","0","<5","0","<5"
"Peterson BehaviorJr./Sr. HS","18","58.1","-","-","18","58.1","-","-","N/A","N/A","0","<5","-","-","12","66.7","-","-","N/A","N/A","-","-","10","62.5","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Rancho HS","156","21.6","55","34.2","156","21.6","15","21.4","N/A","N/A","0","<5","120","21.2","20","33.3","10","18.2","-","-","-","-","90","23.3","66","19.8","-","-","-","-","0","<5"
"Sandy Valley Jr/SrHS","-","-","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"SE CTA","40","7","-","-","40","7","-","-","0","<5","-","-","29","9.4","-","-","-","-","-","-","-","-","16","7.8","24","6.6","-","-","N/A","N/A","0","<5"
