"Shadow Ridge HS","123","16.2","10","29.4","123","16.2","16","15.5","-","-","0","<5","41","18.2","37","29.1","22","7.8","-","-","19","24.7","71","17","51","14.9","-","-","-","-","-","-"
"Sierra Vista HS","116","14.6","16","20.8","116","14.6","12","12.8","-","-","-","-","39","17","34","23.9","19","10.8","-","-","13","13.8","63","14.3","53","15","-","-","N/A","N/A","0","<5"
"Silverado HS","128","25.5","17","37.8","128","25.5","21","30","-","-","-","-","64","30.8","25","36.8","18","14.3","-","-","12","25","72","25.7","56","25.3","-","-","-","-","0","<5"
"South ContinuationJr./Sr. Hig","16","72.7","-","-","16","72.7","-","-","N/A","N/A","0","<5","-","-","12","80","-","-","N/A","N/A","N/A","N/A","12","80","-","-","-","-","N/A","N/A","N/A","N/A"
"Spring MountainJr/Sr HS","-","-","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","0","<5","-","-","0","<5","N/A","N/A","0","<5","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Spring Valley HS","155","20.9","18","29","155","20.9","23","34.8","0","<5","-","-","62","25","39","24.5","28","17","-","-","11","18.3","102","26","53","15.2","12","57.1","-","-","0","<5"
"Stewart School","11",">95","-","-","11",">95","11",">95","N/A","N/A","-","-","-","-","-","-","-","-","-","-","N/A","N/A","10",">95","-","-","-","-","-","-","N/A","N/A"
"Summit View J/SHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Sunrise MountainHS","205","35.9","86","48.6","205","35.9","32","41","N/A","N/A","0","<5","160","36","36","43.9","-","-","0","<5","-","-","108","36.5","97","35.3","-","-","0","<5","0","<5"
"SW CTA","-","-","0","<5","-","-","-","-","0","<5","-","-","-","-","0","<5","-","-","0","<5","0","<5","-","-","-","-","0","<5","N/A","N/A","0","<5"
"Valley HS","208","34.1","79","39.9","208","34.1","31","35.6","-","-","-","-","135","31.8","45","42.5","19","45.2","0","<5","-","-","120","35.6","88","32.2","17","56.7","-","-","-","-"
"Variety SEC","-","-","-","-","-","-","-","-","N/A","N/A","N/A","N/A","-","-","-","-","-","-","N/A","N/A","-","-","-","-","-","-","-","-","-","-","N/A","N/A"
"Virgin Valley HS","23","12.2","-","-","23","12.2","-","-","-","-","0","<5","12","12.2","-","-","-","-","-","-","0","<5","13","12.9","10","11.5","0","<5","0","<5","N/A","N/A"
"VT CTA","18","7.9","-","-","18","7.9","-","-","-","-","0","<5","15","10.8","0","<5","-","-","0","<5","0","<5","-","-","11","7.5","0","<5","N/A","N/A","0","<5"
"West CTA","-","-","-","-","-","-","0","<5","N/A","N/A","0","<5","-","-","-","-","-","-","0","<5","0","<5","0","<5","-","-","0","<5","N/A","N/A","0","<5"
"West Prep Sec","14","17.1","-","-","14","17.1","-","-","0","<5","0","<5","-","-","-","-","0","<5","-","-","-","-","-","-","-","-","-","-","N/A","N/A","N/A","N/A"
"Western HS","332","49.8","106","55.5","332","49.8","48","50.5","0","<5","-","-","226","47.1","68","62.4","21","58.3","-","-","13","61.9","193","52.3","139","46.6","19","76","-","-","-","-"
