"","English/ Reading/Lang. Arts","Mathematics","Science","Social Studies","Foreign Languages","Arts","Elementary","Poverty Level (H/ L)"
"","%","%","%","%","%","%","%",""
"Hickey ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Hill ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Hinman ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Hoggard ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Hollingsworth ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Hughes MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Hummel ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Hyde Park MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Indian Springs ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Indian Springs HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Indian Springs MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Innovations CharterSEC","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"InnovationsInternational ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Iverson ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Jacobson ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Jeffers ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Jenkins, Earl N ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Johnson JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Johnston MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Juvenile Detention3-12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Jydstrup ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Kahre ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Katz ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Keller ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Keller (Duane) MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Kelly ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Kenneth DivichElementary","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Kesterson ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Kim ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"King (Martha) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"King (Martin LutherJr) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Knudson MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Lake ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Lamping ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Las VegasAcademy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Las Vegas HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Laughlin Jr/Sr HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Lawrence JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Leavitt MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Legacy HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Liberty HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Lied MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Lincoln ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Long ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Lowman ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Lummis ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Lundy ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lunt ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Lynch ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Lyon MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Mack (Jerome) MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Mack (Nate) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Mackey ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Mackey, Jo MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Manch ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
