"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"D'Vorre andHall OberElementarySchool","35","21","26","18","42","24","22","13","N/A","N/A","N/A","N/A"
"D. L. DustyDickensElementarySchool","45","18","20","16","45","27","18","10","N/A","N/A","N/A","N/A"
"Dan GoldfarbElementarySchool","35","34","20","11","47","27","17","9","N/A","N/A","N/A","N/A"
"David M. CoxElementarySchool","25","17","28","31","22","25","29","24","N/A","N/A","N/A","N/A"
"Dean LaMarAllenElementarySchool","34","18","29","19","38","22","28","13","N/A","N/A","N/A","N/A"
"Dean PetersenElementarySchool","64","20","13","3","70","17","10","2","N/A","N/A","N/A","N/A"
"Del E. WebbMiddle School","25","22","32","21","28","25","22","26","N/A","N/A","N/A","N/A"
"Dell H. RobisonMiddle School","54","26","17","4","78","15","5","1","N/A","N/A","N/A","N/A"
"Delta Academy","55","28","13","4","69","20","8","3","N/A","N/A","N/A","N/A"
"Dennis OrtweinElementary","35","22","24","19","31","27","23","19","N/A","N/A","N/A","N/A"
"Desert WillowSchool","-","-","-","-","-","-","-","-","N/A","N/A","N/A","N/A"
"Desert WillowSecondary","-","-","-","-","-","-","-","-","N/A","N/A","N/A","N/A"
"Don and DeeSnyderElementarySchool","34","21","22","23","40","25","21","14","N/A","N/A","N/A","N/A"
