"","Average Daily Attendance"
"Miley Achievement CenterSec","65.8"
"Miller (Bob) MS","72.6"
"Miller (John) School","65.3"
"Miller (Sandy) ES","73.6"
"Mission High School","78.5"
"Mitchell ES","68.3"
"Moapa Valley HS","70.8"
"Mojave HS","74.3"
"Molasky JHS","70"
"Monaco MS","69.5"
"Moore ES","75.3"
"Morris Sunset East HS","57.5"
"Morrow ES","66.8"
"Mountain View ES","74.6"
"Neal ES","74.6"
"NECTA HS","71.2"
"Nevada Learning Academy","69.5"
"Newton ES","70.7"
"NV Learning Academy ES","66.1"
"NW CTA","68.9"
"NW CTA ES","81.3"
"O'Callaghan MS","67.3"
"O'Roarke ES","74.9"
"Ober ES","75.3"
"Odyssey Charter ES","95.5"
"Odyssey Charter HS","89.6"
"Odyssey Charter MS","89.9"
"Orr MS","70"
"Palo Verde HS","72.8"
"Paradise PDS","72.7"
"Park ES","65.4"
"Parson ES","67.5"
"Perkins (Dr. Claude G.) ES","70.9"
"Perkins (Ute) ES","66.8"
"Petersen ES","73.9"
"Peterson Behavior Jr./Sr. HS","54.3"
"Piggott ES","63.4"
"Pittman ES","75.3"
"Priest ES","71.7"
"Prison Program HS","68.2"
"Quest Program","*"
"Rainbow Dream AC Academy","*"
"Rainbow Dreams Academy","92.1"
"Rancho HS","69.5"
"Red Rock ES","68.3"
"Reed ES","75.5"
"Reedom ES","72.8"
"Reid ES","62.3"
"Rhodes ES","72.1"
"Ries ES","66.6"
"Roberts ES","71.7"
"Robison MS","76.9"
"Rogers ES","72.8"
"Rogich MS","70.6"
"Ronnow ES","72.6"
"Ronzone ES","71.6"
"Roundy ES","74.4"
"Rowe ES","73"
"Rundle ES","69.5"
"Sandy Valley ES","64.5"
"Sandy Valley Jr/Sr HS","70.3"
"Saville MS","65.8"
"Sawyer MS","73.8"
"Scherkenbach ES","71.2"
