"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"Lawrence andHeidi CanarelliMiddle School","27","27","33","14","35","27","22","15","N/A","N/A","N/A","N/A"
"Lee AntonelloElementarySchool","41","20","25","14","41","24","23","12","N/A","N/A","N/A","N/A"
"Lewis E. RoweElementarySchool","37","22","21","19","43","29","18","9","N/A","N/A","N/A","N/A"
"Lied MiddleSchool","14","26","41","19","21","26","30","23","N/A","N/A","N/A","N/A"
"Liliam LujanHickeyElementarySchool","57","21","16","6","60","23","13","4","N/A","N/A","N/A","N/A"
"LincolnElementarySchool","55","24","14","7","53","27","15","5","N/A","N/A","N/A","N/A"
"Linda R.GivensElementarySchool","15","14","27","43","14","16","23","46","N/A","N/A","N/A","N/A"
"Lois and JerryTarkanianMiddle School","18","27","39","17","32","29","24","14","N/A","N/A","N/A","N/A"
"Lois CraigElementarySchool","72","20","6","2","77","15","7","0","N/A","N/A","N/A","N/A"
"Lomie G. HeardElementarySchool, AMarzanoAcademy","35","18","22","25","29","30","20","21","N/A","N/A","N/A","N/A"
"Lorna J.KestersonElementarySchool","27","20","25","28","30","23","25","23","N/A","N/A","N/A","N/A"
