"","English/ Reading/Lang. Arts","Mathematics","Science","Social Studies","Foreign Languages","Arts","Elementary","Poverty Level (H/ L)"
"","%","%","%","%","%","%","%",""
"Woodbury MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Woolley ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Wright ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Wynn ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
