""
"Goynes ES"
"Gragson ES"
"Gray ES"
"Green Valley HS"
"Greenspun JHS"
"Griffith ES"
"Guinn MS"
"Gunderson, Barryand June MS"
"Guy ES"
"Hancock ES"
"Harmon ES"
"Harney MS"
"Harris ES"
"Hayden ES"
"Hayes ES"
"Heard Academy ES"
"Heckethorn ES"
"Herr ES"
"Herron ES"
"Hewetson ES"
"Hickey ES"
"Hill ES"
"Hinman ES"
"Hoggard ES"
"Hollingsworth ES"
"Hughes MS"
"Hummel ES"
"Hyde Park MS"
"Indian Springs ES"
"Indian Springs HS"
"Indian Springs MS"
"Innovations CharterSEC"
"InnovationsInternational ES"
"Iverson ES"
"Jacobson ES"
"Jeffers ES"
"Jenkins, Earl N ES"
"Johnson JHS"
"Johnston MS"
"Juvenile Detention 3-12"
"Jydstrup ES"
"Kahre ES"
"Katz ES"
"Keller ES"
"Keller (Duane) MS"
"Kelly ES"
"Kenneth DivichElementary"
"Kesterson ES"
"Kim ES"
"King (Martha) ES"
"King (Martin LutherJr) ES"
"Knudson MS"
"Lake ES"
"Lamping ES"
"Las Vegas Academy"
"Las Vegas HS"
"Laughlin Jr/Sr HS"
"Lawrence JHS"
"Leavitt MS"
"Legacy HS"
"Liberty HS"
"Lied MS"
"Lincoln ES"
