"School Name","Stars"
"Cahlan ES","1"
"Cartwright ES","2"
"Cortez ES","2"
"Cozine ES","2"
"Culley ES","1"
"Darnell ES","1"
"Derfelt ES","2"
"Detwiler ES","1"
"Diskin ES","3"
"Dooley ES","2"
"Earl M ES","2"
"Elizondo ES","2"
"Ferron ES","2"
"Fong ES","2"
"Frias ES","4"
"Gehring ACAD ES","5"
"Gilbert ES","2"
"Goodsprings ES","NR"
"Gragson ES","2"
"Guy ES","1"
"Harris ES","1"
"Heard ES","3"
"Herron ES","2"
"Hill ES","4"
"Hollingsworth ES","2"
"Innovations ES","1"
"Jeffers ES","1"
"Juvenile Det ES","NR"
"Katz ES","2"
"Kesterson ES","3"
"King Martin ES","1"
"Lincoln ES","2"
"Lummis ES","3"
"Lynch ES","1"
"Manch ES","1"
"May ES","2"
"McDoniel ES","5"
"Mendoza ES","2"
"Miller Sandy ES","2"
"Morrow ES","4"
"Newton ES","3"
"Odyssey ES","3"
"Paradise ES","2"
"Perkins C ES","1"
"Piggott ACAD ES","4"
"Rainbow DreamsELA ES","NR"
"Reedom ES","3"
"Ries ES","2"
"Ronnow ES","1"
"Rowe ES","2"
"Scherkenbach ES","4"
"Sewell ES","1"
