"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"Barbara andHankGreenspunJunior HighSchool","26","26","32","17","41","28","18","13","N/A","N/A","N/A","N/A"
"Berkeley L.BunkerElementarySchool","59","17","18","6","56","22","15","7","N/A","N/A","N/A","N/A"
"BerthaRonzoneElementarySchool","60","20","13","7","60","25","11","4","N/A","N/A","N/A","N/A"
"Betsy A.RhodesElementary","26","26","25","24","33","22","26","19","N/A","N/A","N/A","N/A"
"Bill Y.TomiyasuElementarySchool","40","22","25","13","42","28","19","11","N/A","N/A","N/A","N/A"
"Billy andRosemaryVassiliadisElementarySchool","8","13","26","53","5","14","26","55","N/A","N/A","N/A","N/A"
"Blue DiamondElementarySchool","0","18","29","53","0","12","35","53","N/A","N/A","N/A","N/A"
"Bob MillerMiddle School","17","23","35","25","27","24","22","27","N/A","N/A","N/A","N/A"
"Brian and TeriCram MiddleSchool","39","25","26","10","52","22","16","10","N/A","N/A","N/A","N/A"
"Brown, HannahMarie ES","23","20","28","29","25","29","23","24","N/A","N/A","N/A","N/A"
"C. C. RonnowElementarySchool","55","21","17","8","49","27","18","6","N/A","N/A","N/A","N/A"
