"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"John W.BonnerElementarySchool","15","14","27","43","13","16","26","44","N/A","N/A","N/A","N/A"
"Joseph E.ThiriotElementarySchool","39","23","25","14","38","26","25","11","N/A","N/A","N/A","N/A"
"Joseph L.Bowler, Sr.ElementarySchool","47","24","20","9","47","25","19","9","N/A","N/A","N/A","N/A"
"Joseph M. NealElementarySchool","30","20","30","19","31","26","24","20","N/A","N/A","N/A","N/A"
"Josh StevensElementarySchool","27","23","25","24","27","26","26","21","N/A","N/A","N/A","N/A"
"Judith D.SteeleElementarySchool","30","16","23","30","28","22","23","27","N/A","N/A","N/A","N/A"
"Judy and JohnGoolsbyElementarySchool","15","15","25","45","12","19","24","45","N/A","N/A","N/A","N/A"
"Justice MyronE. LeavittMiddle School","28","27","32","13","47","28","15","10","N/A","N/A","N/A","N/A"
"JuvenileDetention 3-12","-","-","-","-","-","-","-","-","N/A","N/A","N/A","N/A"
"K. O. KnudsonMiddle SchoolAcademy ofCreative ArtsandTechnology","37","21","30","12","65","21","10","4","N/A","N/A","N/A","N/A"
"Kathleen andTim HarneyMiddle School","62","21","14","3","77","17","5","1","N/A","N/A","N/A","N/A"
