"School Name","Stars"
"Burk Horizon SW HS","NR"
"Centennial HS","3"
"Cimarron Mem HS","3"
"Cowan Behavior HS","NR"
"CSN South HS","5"
"Del Sol ACAD HS","3"
"Desert Pines HS","2"
"Durango HS","3"
"Expl Knowledge SECHS","4"
"Green Valley HS","4"
"Juvenile Court HS","NR"
"Laughlin JSHS HS","2"
"Miley Achvmt SECHS","NR"
"Moapa Valley HS","5"
"NECTA HS","NR"
"Odyssey HS","3"
"Rancho HS","3"
"Shadow Ridge HS","4"
"South Cont JSHS HS","NR"
"Stewart HS","1"
"SWCTA HS","5"
"Virgin Valley HS","3"
"West Prep JSHS HS","4"
