"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"Helen MarieSmithElementarySchool","36","22","25","17","36","26","27","12","N/A","N/A","N/A","N/A"
"Henry andEvelyn BozarthElementarySchool","20","15","31","33","22","25","27","26","N/A","N/A","N/A","N/A"
"Herbert A.DerfeltElementarySchool","36","21","25","17","44","25","18","13","N/A","N/A","N/A","N/A"
"Howard A.WasdenElementarySchool","42","24","21","13","49","24","20","8","N/A","N/A","N/A","N/A"
"Howard E.HeckethornElementarySchool","17","19","29","35","21","22","32","25","N/A","N/A","N/A","N/A"
"Howard E.HollingsworthElementarySchool","50","22","20","8","59","25","11","5","N/A","N/A","N/A","N/A"
"Hyde ParkMiddle Schooland theAcademy ofScience andMathematics","29","19","25","27","37","17","14","32","N/A","N/A","N/A","N/A"
"Indian SpringsElementarySchool","25","38","19","19","39","29","26","6","N/A","N/A","N/A","N/A"
"Indian SpringsMiddle School","13","35","35","16","51","30","15","4","N/A","N/A","N/A","N/A"
"InnovationsInternationalCharter Schoolof Nevada","47","20","26","7","48","30","16","6","N/A","N/A","N/A","N/A"
