"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"Marion E.CahlanElementarySchool","37","28","21","14","45","26","17","12","N/A","N/A","N/A","N/A"
"Mark L. FineElementarySchool","38","17","27","18","42","23","24","12","N/A","N/A","N/A","N/A"
"Marshall C.DarnellElementary","37","22","25","16","33","29","22","15","N/A","N/A","N/A","N/A"
"Martha P. KingElementarySchool","23","20","24","33","22","25","27","26","N/A","N/A","N/A","N/A"
"Martin LutherKing, Jr.ElementarySchool","59","20","15","7","66","20","11","4","N/A","N/A","N/A","N/A"
"Marvin M.Sedway MiddleSchool","48","30","17","5","72","19","7","2","N/A","N/A","N/A","N/A"
"Matt KellyElementarySchool","66","22","10","2","73","18","6","3","N/A","N/A","N/A","N/A"
"McCaw STEAMMagnetElementarySchool","8","14","25","52","10","16","28","46","N/A","N/A","N/A","N/A"
"Mervin IversonElementarySchool","35","25","21","20","32","28","21","19","N/A","N/A","N/A","N/A"
"MikeO'CallaghanMiddle School","18","24","37","20","30","28","20","22","N/A","N/A","N/A","N/A"
"MileyAchievementCenter","100","0","0","0","100","0","0","0","N/A","N/A","N/A","N/A"
"MileyAchievementCenter Sec","100","0","0","0","100","0","0","0","N/A","N/A","N/A","N/A"
