"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"James B.McMillanElementarySchool","41","21","25","12","49","25","19","7","N/A","N/A","N/A","N/A"
"JamesCashmanMiddle School","57","20","18","6","68","19","9","4","N/A","N/A","N/A","N/A"
"James E. andA. Rae SmalleyElementarySchool","4","13","29","53","6","21","26","48","N/A","N/A","N/A","N/A"
"James H.BilbrayElementarySchool","19","17","30","33","24","19","27","30","N/A","N/A","N/A","N/A"
"James I.GibsonElementarySchool","24","19","24","33","27","22","27","24","N/A","N/A","N/A","N/A"
"James MadisonUllomElementarySchool","43","23","16","18","46","24","17","12","N/A","N/A","N/A","N/A"
"Jan JonesBlackhurstElementarySchool","19","15","27","39","19","24","30","26","N/A","N/A","N/A","N/A"
"Jay W. JeffersElementarySchool","60","21","13","5","58","23","13","6","N/A","N/A","N/A","N/A"
"Jenkins, Earl NES","37","23","20","21","38","27","21","15","N/A","N/A","N/A","N/A"
"Jerome D.Mack MiddleSchool","63","21","13","2","69","21","8","2","N/A","N/A","N/A","N/A"
"Jesse D. ScottES","64","18","13","5","70","21","7","2","N/A","N/A","N/A","N/A"
