"","Grade Level","Subjects","","","","","","","","",""
"","","Elementary","","Mathematics","","Science","","Social Studies","","English",""
"","","Long Term","Short Term","Long Term","Short Term","Long Term","Short Term","Long Term","Short Term","Long Term","Short Term"
"Tarr ES","PK-5","4","391","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tartan ES","PK-5","32","221","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tate ES","PK-5","9","102","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Taylor (Glen) ES","PK-5","7","210","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Taylor (Robert) ES","PK-5","14","146","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Thiriot ES","PK-5","5","138","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Thomas ES","PK-5","14","142","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Thompson ES","PK-5","7","76","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Thompson, Tyrone ES","PK-05","3","189","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Thorpe ES","PK-5","7","399","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tobler ES","PK-5","3","146","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tomiyasu ES","PK-5","8","99","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Treem ES","K-5","1","87","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Triggs ES","PK-5","5","198","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Twin Lakes ES","PK-5","16","158","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Twitchell ES","PK-5","2","292","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ullom ES","PK-5","9","66","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Valley HS","9-12","N/A","N/A","2","78","12","114","0","81","12","90"
"Vanderburg ES","PK-5","4","350","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Variety ES","K-5","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Variety SEC","06-12","N/A","N/A","0","0","0","0","0","0","0","0"
"Vassiliadis ES","PK-05","6","461","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Vegas Verdes ES","PK-5","18","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Virgin Valley ES","PreK-5","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Virgin Valley HS","9-12","N/A","N/A","1","19","0","23","0","16","0","40"
"Von Tobel MS","6-8","N/A","N/A","0","45","1","70","10","56","2","114"
"VT CTA","9-12","N/A","N/A","0","13","0","40","0","35","0","49"
"Walker International ES","PK-5","3","281","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Wallin ES","PK-5","8","444","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ward (Gene) ES","PK-5","11","244","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ward (Kitty) ES","PK-5","5","272","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Warren ES","PK-5","9","334","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Wasden ES","PK-5","2","75","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Watson ES","PK-5","17","72","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Webb MS","6-8","N/A","N/A","0","72","0","77","1","33","3","121"
"Wengert ES","PK-5","12","178","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"West CTA","9-12","N/A","N/A","2","48","0","171","0","60","1","87"
"West Prep ES","Pre-K-5","2","52","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"West Prep Sec","6-12","N/A","N/A","5","11","0","15","0","17","7","16"
"Western HS","9-12","N/A","N/A","1","21","4","31","1","46","3","51"
"White MS","6-8","N/A","N/A","2","59","7","71","0","38","3","91"
"Whitney ES","PK-5","8","202","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Wiener ES","PK-5","8","271","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Wilhelm ES","PK-5","2","207","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Williams (Tom) ES","PK-5","15","91","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Williams (Wendell) ES","PK-5","16","358","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Wolfe (Eva) ES","PK-5","7","283","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Wolff (Elise) ES","PK-5","8","339","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Woodbury MS","6-8","N/A","N/A","2","5","0","1","1","3","2","14"
"Woolley ES","PK-5","14","307","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Wright ES","PK-5","11","118","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Wynn ES","PK-5","19","432","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
