"A-TECH","-","-","-","-","-","-","-","-","N/A","N/A","0","<5","-","-","-","-","0","<5","0","<5","-","-","-","-","-","-","0","<5","N/A","N/A","-","-"
"AccelerationAcademy","23","74.2","-","-","23","74.2","0","<5","N/A","N/A","N/A","N/A","-","-","-","-","-","-","-","-","-","-","13","81.3","10","66.7","N/A","N/A","N/A","N/A","N/A","N/A"
"Arbor View HS","119","15.7","-","-","119","15.7","16","25","-","-","-","-","40","18.3","18","17.5","42","14","-","-","11","13.6","63","16.2","56","15.1","-","-","-","-","-","-"
"Basic HS","148","23.9","14","20.9","148","23.9","25","23.8","N/A","N/A","0","<5","61","24.1","48","35.8","21","15.1","-","-","15","27.8","87","25.1","61","22.3","13","56.5","-","-","-","-"
"Bonanza HS","204","43.1","57","49.6","204","43.1","21","31.3","-","-","-","-","137","45.2","32","50","18","30","-","-","-","-","103","42","101","44.5","-","-","0","<5","0","<5"
"Boulder City HS","18","10.8","-","-","18","10.8","-","-","N/A","N/A","-","-","-","-","-","-","11","8.9","0","<5","0","<5","12","12.5","-","-","0","<5","0","<5","N/A","N/A"
"Burk Horizon SWHS","0","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Canyon Springs HS","189","24.5","45","32.1","189","24.5","17","23.9","N/A","N/A","0","<5","118","25.4","61","29.2","-","-","0","<5","-","-","106","28","83","21","13","41.9","-","-","-","-"
"CC Detention","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Centennial HS","183","24.1","19","50","183","24.1","15","20.8","-","-","-","-","74","27.6","58","39.5","33","13.6","-","-","13","19.4","106","27.6","76","20.3","12","57.1","-","-","-","-"
