"Group","Graduating Classof","Completion Indicators - Graduates","","","","","CompletionIndicators - Non-Graduates"
"","","# Adult Diploma","# AdvancedDiploma","# AlternativeDiploma","# College andCareer ReadyDiploma","# StandardDiploma","# AdjustedDiploma"
"State","2022-2023","289","4822","79","8199","18112","130"
"Clark","2022-2023","152","2606","52","5960","13057","34"
"AccelerationAcademy","2022-2023","-","-","-","-","157","-"
"AdvancedTechnologiesAcademy","2022-2023","-","-","-","211","52","-"
"Arbor ViewHigh School","2022-2023","-","128","-","193","389","-"
"Basic HighSchool","2022-2023","-","29","-","120","322","-"
"Bonanza HighSchool","2022-2023","-","56","-","32","313","-"
"Boulder CityHigh School","2022-2023","-","41","-","-","73","-"
