"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"Jim ThorpeElementarySchool","45","20","21","13","50","27","15","8","N/A","N/A","N/A","N/A"
"Jo MackeyAcademy ofLeadership andGlobalCommunication","19","26","35","20","23","30","26","21","N/A","N/A","N/A","N/A"
"John A. DooleyElementarySchool","28","21","26","25","21","33","27","19","N/A","N/A","N/A","N/A"
"John C. BassElementarySchool","20","21","30","29","22","31","25","22","N/A","N/A","N/A","N/A"
"John C.FremontProfessionalDevelopmentMiddle School","37","30","26","7","56","27","13","5","N/A","N/A","N/A","N/A"
"John C.VanderburgElementarySchool","12","16","34","38","13","19","25","43","N/A","N/A","N/A","N/A"
"John F.MendozaElementarySchool","46","25","22","8","48","27","15","11","N/A","N/A","N/A","N/A"
"John R. BeattyElementarySchool","24","22","31","23","36","29","24","11","N/A","N/A","N/A","N/A"
"John R.HummelElementarySchool","47","20","21","13","45","25","20","11","N/A","N/A","N/A","N/A"
"John S. ParkElementarySchool","48","23","17","12","50","27","15","8","N/A","N/A","N/A","N/A"
"John TartanElementarySchool","53","20","16","11","59","23","13","5","N/A","N/A","N/A","N/A"
