"","All Schools","Kindergarten","1st Grade","2nd Grade","3rd Grade","4th Grade","5th Grade","6th Grade","7th Grade","8th Grade"
"Smalley ES","27:1","23:1","24:1","24:1","24:1","35:1","37:1","N/A","N/A","N/A"
"Smith (Hal) ES","23:1","18:1","20:1","21:1","26:1","29:1","27:1","N/A","N/A","N/A"
"Smith (Helen)ES","21:1","15:1","17:1","19:1","22:1","31:1","23:1","N/A","N/A","N/A"
"Smith (J.D.) MS","25:1","N/A","N/A","N/A","N/A","N/A","N/A","25:1","N/A","N/A"
"Snyder ES","24:1","17:1","18:1","23:1","26:1","32:1","31:1","N/A","N/A","N/A"
"Snyder ES","18:1","15:1","17:1","16:1","17:1","26:1","23:1","N/A","N/A","N/A"
"SouthContinuationJr./Sr. Hig","1:1","N/A","N/A","N/A","N/A","N/A","N/A","1:1","N/A","N/A"
"SpringMountain Jr/SrHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Squires ES","19:1","18:1","16:1","18:1","19:1","26:1","24:1","N/A","N/A","N/A"
"Stanford ES","19:1","15:1","16:1","16:1","19:1","24:1","25:1","N/A","N/A","N/A"
"Staton ES","22:1","25:1","17:1","19:1","21:1","23:1","29:1","N/A","N/A","N/A"
"Steele ES","24:1","18:1","22:1","25:1","24:1","28:1","27:1","N/A","N/A","N/A"
"StevensElementarySchool","22:1","17:1","22:1","20:1","21:1","26:1","26:1","N/A","N/A","N/A"
"Stewart School","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stuckey ES","23:1","20:1","18:1","23:1","22:1","31:1","27:1","N/A","N/A","N/A"
"Summit ViewJ/SHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Sunrise AcresES","19:1","20:1","18:1","20:1","19:1","24:1","16:1","N/A","N/A","N/A"
"Swainston MS","22:1","N/A","N/A","N/A","N/A","N/A","N/A","22:1","N/A","N/A"
"Tanaka ES","21:1","19:1","17:1","19:1","21:1","24:1","32:1","N/A","N/A","N/A"
"Tarkanian MS","30:1","N/A","N/A","N/A","N/A","N/A","N/A","30:1","N/A","N/A"
"Tarr ES","21:1","19:1","20:1","20:1","17:1","30:1","29:1","N/A","N/A","N/A"
"Tartan ES","15:1","16:1","10:1","15:1","16:1","24:1","15:1","N/A","N/A","N/A"
"Tate ES","20:1","17:1","18:1","15:1","17:1","24:1","31:1","N/A","N/A","N/A"
"Taylor (Glen)ES","25:1","24:1","18:1","20:1","25:1","31:1","35:1","N/A","N/A","N/A"
"Taylor (Robert)ES","16:1","14:1","11:1","15:1","17:1","25:1","21:1","N/A","N/A","N/A"
"Thiriot ES","19:1","16:1","17:1","17:1","18:1","25:1","30:1","N/A","N/A","N/A"
"Thomas ES","19:1","21:1","14:1","17:1","24:1","25:1","21:1","N/A","N/A","N/A"
"Thompson ES","25:1","19:1","23:1","25:1","23:1","32:1","34:1","N/A","N/A","N/A"
"Thompson,Tyrone ES","25:1","19:1","21:1","26:1","21:1","32:1","36:1","N/A","N/A","N/A"
"Thorpe ES","17:1","14:1","17:1","17:1","18:1","20:1","18:1","N/A","N/A","N/A"
"Tobler ES","21:1","19:1","17:1","21:1","22:1","23:1","24:1","N/A","N/A","N/A"
"Tomiyasu ES","21:1","21:1","16:1","17:1","23:1","30:1","30:1","N/A","N/A","N/A"
"Treem ES","22:1","21:1","21:1","23:1","16:1","28:1","26:1","N/A","N/A","N/A"
"Triggs ES","23:1","16:1","22:1","19:1","20:1","33:1","35:1","N/A","N/A","N/A"
"Twin Lakes ES","20:1","17:1","20:1","17:1","25:1","23:1","21:1","N/A","N/A","N/A"
"Twitchell ES","23:1","18:1","19:1","19:1","23:1","29:1","31:1","N/A","N/A","N/A"
"Ullom ES","18:1","23:1","14:1","18:1","14:1","24:1","20:1","N/A","N/A","N/A"
"Vanderburg ES","23:1","15:1","18:1","20:1","29:1","32:1","33:1","N/A","N/A","N/A"
"Variety ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Variety SEC","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Vassiliadis ES","23:1","14:1","21:1","23:1","23:1","29:1","29:1","N/A","N/A","N/A"
"Vegas VerdesES","19:1","16:1","20:1","17:1","21:1","22:1","21:1","N/A","N/A","N/A"
"Virgin ValleyES","21:1","21:1","23:1","21:1","23:1","20:1","19:1","N/A","N/A","N/A"
"Von Tobel MS","19:1","N/A","N/A","N/A","N/A","N/A","N/A","19:1","N/A","N/A"
"WalkerInternationalES","23:1","17:1","19:1","20:1","22:1","35:1","27:1","N/A","N/A","N/A"
"Wallin ES","23:1","18:1","23:1","20:1","23:1","25:1","32:1","N/A","N/A","N/A"
"Ward (Gene)ES","19:1","14:1","15:1","19:1","21:1","26:1","23:1","N/A","N/A","N/A"
"Ward (Kitty) ES","26:1","20:1","24:1","24:1","27:1","27:1","35:1","N/A","N/A","N/A"
"Warren ES","22:1","19:1","21:1","20:1","20:1","24:1","29:1","N/A","N/A","N/A"
"Wasden ES","23:1","20:1","23:1","24:1","23:1","24:1","23:1","N/A","N/A","N/A"
"Watson ES","20:1","15:1","15:1","23:1","15:1","24:1","29:1","N/A","N/A","N/A"
"Webb MS","28:1","N/A","N/A","N/A","N/A","N/A","N/A","28:1","N/A","N/A"
"Wengert ES","22:1","18:1","21:1","22:1","19:1","28:1","25:1","N/A","N/A","N/A"
"West Prep ES","18:1","14:1","18:1","17:1","18:1","22:1","19:1","N/A","N/A","N/A"
