"School Name","Stars"
"Bunker ES","1"
"Carl ES","2"
"Conners ES","4"
"Cox D ES","4"
"Crestwood ES","3"
"Dailey ES","1"
"Decker ES","3"
"Deskin ES","2"
"Dickens ES","1"
"Dondero ES","2"
"EarlI ES","1"
"Eisenberg ES","2"
"Expl Knowledge ES","2"
"Fitzgerald ES","1"
"French ES","2"
"Garehime ES","1"
"Gibson ES","3"
"Goldfarb ES","1"
"Goynes ES","3"
"Griffith ES","1"
"Harmon ES","1"
"Hayes ES","3"
"Herr ES","1"
"Hickey ES","1"
"Hoggard ES","3"
"Indian Springs ES","2"
"Jacobson ES","2"
"Jones Blackhurst ES","3"
"Kahre ES","1"
"Kelly ES","1"
"King Martha ES","3"
"Lamping ES","3"
"Lowman ES","1"
"Lunt ES","1"
"Mackey ES","2"
"Mathis ES","3"
"McCaw ES","5"
"McWilliams ES","1"
"Miller John F ES","1"
"Moore ES","2"
"Neal ES","3"
"Ober ES","3"
"Ortwein ES","3"
"Parson ES","2"
"Petersen ES","2"
"Priest ES","2"
"Reed ES","1"
"Rhodes ES","2"
"Rogers ES","2"
"Roundy ES","1"
"Sandy Valley ES","3"
"Scott ES","1"
