"","Grade Level","Subjects","","","","","","","","",""
"Smith (Hal) ES","PK-5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Smith (Helen) ES","PK-5","24","122","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Smith (J.D.) MS","6-8","N/A","N/A","4","5","1","23","1","18","11","58"
"Snyder ES","PK-5","13","216","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Snyder ES","PK-05","4","193","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"South Continuation Jr./Sr. Hig","9-12","N/A","N/A","1","3","0","1","0","1","2","3"
"Spring Mountain Jr/Sr HS","6-12","N/A","N/A","2","2","0","1","1","2","0","6"
"Spring Valley HS","9-12","N/A","N/A","2","65","0","72","0","65","4","97"
"Squires ES","PK-5","12","101","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"St. Jude's Healing Center","06-12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stanford ES","PK-5","6","116","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Staton ES","PK-5","7","236","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Steele ES","PK-5","8","113","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stevens Elementary School","PK-05","4","268","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stewart School","Ungraded","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stuckey ES","PK-5","6","194","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Summit View J/SHS","06-12","N/A","N/A","0","0","0","0","0","0","0","0"
"Sunrise Acres ES","PK-5","11","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Sunrise Mountain HS","9-12","N/A","N/A","0","34","4","36","0","29","6","62"
"SW CTA","9-12","N/A","N/A","0","61","2","42","0","51","1","57"
"Swainston MS","6-8","N/A","N/A","4","39","10","51","0","51","1","136"
"Tanaka ES","PK-5","7","429","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tarkanian MS","6-8","N/A","N/A","0","20","2","21","1","41","1","42"
