"","English/ Reading/Lang. Arts","Mathematics","Science","Social Studies","Foreign Languages","Arts","Elementary","Poverty Level (H/ L)"
"","%","%","%","%","%","%","%",""
"Mannion MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Martin MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Martinez ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Mathis ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"May ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"McCall ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"McCaw ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"McClure Corr Ctr","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"McDoniel ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"McMillan ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"McWilliams ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Mendoza ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Miley AchievementCenter ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Miley AchievementCenter Sec","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Miller (Bob) MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Miller (John)School","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Miller (Sandy) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Mission HighSchool","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Mitchell ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Moapa Valley HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Mojave HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Molasky JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Monaco MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Moore ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Morris Sunset EastHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Morrow ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Mountain View ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Neal ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"NECTA HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Nevada LearningAcademy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Newton ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"NV LearningAcademy ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"NW CTA","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"NW CTA ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"O'Callaghan MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"O'Roarke ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Ober ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Odyssey CharterES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Odyssey CharterHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Odyssey CharterMS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Orr MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Palo Verde HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Paradise PDS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Park ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Parson ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Perkins (Dr. ClaudeG.) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Perkins (Ute) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Petersen ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Peterson BehaviorJr./Sr. HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Piggott ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Pittman ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Priest ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
