""
"Lunt ES"
"Lynch ES"
"Lyon MS"
"Mack (Jerome) MS"
"Mack (Nate) ES"
"Mackey ES"
"Mackey, Jo MS"
"Manch ES"
"Mannion MS"
"Martin MS"
"Martinez ES"
"Mathis ES"
"May ES"
"McCall ES"
"McCaw ES"
"McDoniel ES"
"McMillan ES"
"McWilliams ES"
"Mendoza ES"
"Miley AchievementCenter ES"
"Miley AchievementCenter Sec"
"Miller (Bob) MS"
"Miller (John) School"
"Miller (Sandy) ES"
"Mission High School"
"Mitchell ES"
"Moapa Valley HS"
"Mojave HS"
"Molasky JHS"
"Monaco MS"
"Moore ES"
"Morris Sunset EastHS"
"Morrow ES"
"Mountain View ES"
"Neal ES"
"NECTA HS"
"Nevada LearningAcademy"
"Newton ES"
"NV LearningAcademy ES"
"NW CTA"
"NW CTA ES"
"O'Callaghan MS"
"O'Roarke ES"
"Ober ES"
"Odyssey Charter ES"
"Odyssey Charter HS"
"Odyssey Charter MS"
"Orr MS"
"Palo Verde HS"
"Paradise PDS"
"Park ES"
"Parson ES"
"Perkins (Dr. ClaudeG.) ES"
"Perkins (Ute) ES"
"Petersen ES"
"Peterson BehaviorJr./Sr. HS"
"Piggott ES"
"Pittman ES"
"Priest ES"
"Quest Program"
"Rainbow DreamsAcademy"
"Rancho HS"
