"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"SpringMountain Jr/SrHigh School","90","10","0","0","100","0","0","0","N/A","N/A","N/A","N/A"
"StanfordElementarySchool","43","27","20","10","37","35","21","8","N/A","N/A","N/A","N/A"
"Steve CozineElementarySchool","39","22","24","15","42","26","17","15","N/A","N/A","N/A","N/A"
"Steve SchorrElementarySchool","30","22","25","23","34","25","23","18","N/A","N/A","N/A","N/A"
"Sue H. MorrowElementarySchool","23","21","22","35","25","24","26","26","N/A","N/A","N/A","N/A"
"Sunrise AcresElementarySchool","65","16","14","5","64","22","11","3","N/A","N/A","N/A","N/A"
"The Academyof Scie, Tech,Engg, Arts, andMathematics atBridger MiddleSchool","50","25","21","4","60","23","11","6","N/A","N/A","N/A","N/A"
"Theron H. andNaomi D.GoynesElementarySchool","23","21","28","27","24","30","25","22","N/A","N/A","N/A","N/A"
"Theron L.SwainstonMiddle School","56","25","16","3","71","20","7","1","N/A","N/A","N/A","N/A"
"ThomasO'RoarkeElementarySchool","14","22","29","35","18","18","29","35","N/A","N/A","N/A","N/A"
"Thompson,Tyrone ES","19","21","27","32","17","24","31","27","N/A","N/A","N/A","N/A"
