"","Average Daily Attendance"
"Durango HS","78.8"
"Earl (Ira) ES","74.6"
"Earl (Marion) ES","70.5"
"Early Childhood Program","*"
"East CTA","73.1"
"Edwards ES","75.3"
"Eisenberg ES","72"
"Eldorado HS","72.1"
"Elizondo ES","70.8"
"Ellis ES","72.3"
"Escobedo MS","68.5"
"Explore Knowledge ES","94.7"
"Explore Knowledge SEC","95.9"
"Faiss MS","72.1"
"Ferron ES","68.7"
"Fertitta MS","72.1"
"Findlay MS","72.6"
"Fine ES","74.7"
"Fitzgerald ES","65.8"
"Fong ES","70.4"
"Foothill HS","74.7"
"Forbuss ES","68.9"
"Fremont MS","71.3"
"French ES","69"
"Frias ES","69"
"Galloway ES","77.2"
"Garehime ES","74.2"
"Garrett JHS","65"
"Garside JHS","69.8"
"Gehring ES","71"
"Gibson (James) ES","72.4"
"Gibson (Robert) MS","69"
"Gilbert ES","69.9"
"Givens ES","66"
"Global Community Highschool","67"
"Goldfarb ES","74.6"
"Goodsprings ES","76.6"
"Goolsby ES","73.7"
"Goynes ES","65.7"
"Gragson ES","66.5"
"Gray ES","78.2"
"Green Valley HS","73.9"
"Greenspun JHS","73.1"
"Griffith ES","72.1"
"Guinn MS","67.4"
"Gunderson, Barry and JuneMS","74.5"
"Guy ES","74.4"
"Hancock ES","73.2"
"Harmon ES","74.2"
"Harney MS","73.1"
"Harris ES","73"
"Hayden ES","67.4"
"Hayes ES","68.8"
"Heard Academy ES","67.4"
"Heckethorn ES","69.6"
"Herr ES","70"
"Herron ES","75.9"
"Hewetson ES","69.1"
"HGHDSRTYOP HS","66.7"
"Hickey ES","74.1"
"Hill ES","73.4"
"Hinman ES","68.9"
"Hoggard ES","68.2"
