""
"Dailey ES"
"Darnell ES"
"Dearing ES"
"Decker ES"
"Del Sol Academy"
"Delta Academy"
"Dennis OrtweinElementary"
"Derfelt ES"
"Desert Oasis HS"
"Desert Pines HS"
"Desert Rose HS"
"Desert Willow ES"
"Desert WillowSecondary"
"Deskin ES"
"Detwiler ES"
"Diaz ES"
"Dickens ES"
"Diskin ES"
"Dondero ES"
"Dooley ES"
"Duncan ES"
"Durango HS"
"Earl (Ira) ES"
"Earl (Marion) ES"
"Early ChildhoodProgram"
"East CTA"
"Edwards ES"
"Eisenberg ES"
"Eldorado HS"
"Elizondo ES"
"Ellis ES"
"Escobedo MS"
"Explore KnowledgeES"
"Explore KnowledgeSEC"
"Faiss MS"
"Ferron ES"
"Fertitta MS"
"Findlay MS"
"Fine ES"
"Fitzgerald ES"
"Fong ES"
"Foothill HS"
"Forbuss ES"
"Fremont MS"
"French ES"
"Frias ES"
"Galloway ES"
"Garehime ES"
"Garrett JHS"
"Garside JHS"
"Gehring ES"
"Gibson (James) ES"
"Gibson (Robert) MS"
"Gilbert ES"
"Givens ES"
"Global CommunityHigh school"
"Goldfarb ES"
"Goodsprings ES"
"Goolsby ES"
"Goynes ES"
"Gragson ES"
"Gray ES"
"Green Valley HS"
