"","All Schools","Kindergarten","1st Grade","2nd Grade","3rd Grade","4th Grade","5th Grade","6th Grade","7th Grade","8th Grade"
"Herr ES","21:1","19:1","13:1","20:1","22:1","32:1","24:1","N/A","N/A","N/A"
"Herron ES","20:1","19:1","19:1","17:1","17:1","23:1","26:1","N/A","N/A","N/A"
"Hewetson ES","25:1","16:1","18:1","20:1","30:1","56:1","35:1","N/A","N/A","N/A"
"Hickey ES","17:1","14:1","20:1","18:1","14:1","22:1","19:1","N/A","N/A","N/A"
"Hill ES","21:1","13:1","19:1","23:1","24:1","22:1","27:1","N/A","N/A","N/A"
"Hinman ES","19:1","15:1","14:1","17:1","23:1","28:1","18:1","N/A","N/A","N/A"
"Hoggard ES","24:1","21:1","22:1","23:1","22:1","29:1","28:1","N/A","N/A","N/A"
"HollingsworthES","18:1","18:1","17:1","14:1","17:1","20:1","23:1","N/A","N/A","N/A"
"Hughes MS","23:1","N/A","N/A","N/A","N/A","N/A","N/A","23:1","N/A","N/A"
"Hummel ES","23:1","18:1","20:1","22:1","22:1","26:1","32:1","N/A","N/A","N/A"
"Hyde Park MS","15:1","N/A","N/A","N/A","N/A","N/A","N/A","15:1","N/A","N/A"
"Indian SpringsES","18:1","16:1","15:1","15:1","20:1","20:1","26:1","N/A","N/A","N/A"
"Indian SpringsMS","6:1","N/A","N/A","N/A","N/A","N/A","N/A","6:1","N/A","N/A"
"InnovationsCharter SEC","20:1","N/A","N/A","N/A","N/A","N/A","N/A","20:1","N/A","N/A"
"InnovationsInternationalES","21:1","17:1","18:1","27:1","18:1","25:1","20:1","N/A","N/A","N/A"
"Iverson ES","19:1","16:1","16:1","19:1","18:1","23:1","27:1","N/A","N/A","N/A"
"Jacobson ES","19:1","19:1","17:1","16:1","22:1","18:1","26:1","N/A","N/A","N/A"
