"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"GwendolynWoolleyElementarySchool","45","26","19","10","50","29","16","5","N/A","N/A","N/A","N/A"
"H. P. FitzgeraldElementarySchool","53","20","16","12","43","23","21","13","N/A","N/A","N/A","N/A"
"Hal SmithElementarySchool","62","23","10","5","67","24","5","3","N/A","N/A","N/A","N/A"
"Halle HewetsonElementarySchool","57","22","13","8","60","25","10","5","N/A","N/A","N/A","N/A"
"Harley A.HarmonElementarySchool","46","22","22","11","40","32","18","10","N/A","N/A","N/A","N/A"
"Harriet A.TreemElementarySchool","31","22","26","21","31","31","26","12","N/A","N/A","N/A","N/A"
"Harry ReidElementarySchool","-","-","-","-","-","-","-","-","N/A","N/A","N/A","N/A"
"Harvey N.DonderoElementarySchool","56","15","20","9","50","24","16","10","N/A","N/A","N/A","N/A"
"Helen C.Cannon JuniorHigh School","54","26","16","4","72","20","6","2","N/A","N/A","N/A","N/A"
"Helen HerrElementarySchool","49","22","17","12","48","29","14","8","N/A","N/A","N/A","N/A"
"Helen M.JydstrupElementarySchool","37","26","22","16","38","23","24","15","N/A","N/A","N/A","N/A"
