"","English/ Reading/Lang. Arts","Mathematics","Science","Social Studies","Foreign Languages","Arts","Elementary","Poverty Level (H/ L)"
"","%","%","%","%","%","%","%",""
"Prison Program HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Quest Program","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Rainbow Dream ACAcademy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Rainbow DreamsAcademy","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Rancho HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Red Rock ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Reed ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Reedom ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Reid ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Rhodes ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Ries ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Roberts ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Robison MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Rogers ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Rogich MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Ronnow ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Ronzone ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Roundy ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Rowe ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Rundle ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Sandy Valley ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Sandy Valley Jr/SrHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Saville MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Sawyer MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Scherkenbach ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Schofield MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Schorr ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Scott ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"SDCC ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"SE CTA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"SECTA PK","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Sedway MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Sewell ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Shadow Ridge HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Shirley A BarberElementary","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Sierra Vista HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Silverado HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Silvestri JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Simmons ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Smalley ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Smith (Hal) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Smith (Helen) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Smith (J.D.) MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Snyder ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Snyder ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"South ContinuationJr./Sr. Hig","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Spring MountainJr/Sr HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Spring Valley HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Squires ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"St. Jude's HealingCenter","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stanford ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Staton ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Steele ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"StevensElementary School","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
