"","Average Daily Attendance"
"Brown, Hannah Marie ES","75.9"
"Bruner ES","69.7"
"Bryan (Richard) ES","74.2"
"Bryan (Roger) ES","73.3"
"Bunker ES","76.3"
"Burk Horizon SW HS","65.8"
"Burkholder MS","62.2"
"Cadwallader MS","71"
"Cahlan ES","69.8"
"Cambeiro ES","77"
"Canarelli MS","70.3"
"Cannon JHS","69.3"
"Canyon Springs HS","71.4"
"Carl ES","69.8"
"Carson ES","74.1"
"Cartwright ES","75.6"
"Cashman MS","72.9"
"CC Detention","*"
"Centennial HS","70.2"
"Chaparral HS","70.8"
"Cheyenne HS","73.4"
"Child Find","*"
"Christensen ES","71.8"
"Cimarron-Memorial HS","75.7"
"Clark HS","69.9"
"Conners ES","70.7"
"Coronado HS","76.3"
"Cortez ES","72"
"Cortney JHS","67.5"
"Cowan Behavior Jr/Sr HS","71"
"Cowan Sunset SE HS","84.4"
"Cox (Clyde) ES","76.7"
"Cox (David) ES","72.7"
"Cozine ES","71.1"
"Craig ES","76.9"
"Cram MS","65.7"
"Crestwood ES","77.5"
"CSNHS East","73.6"
"CSNHS South","71.3"
"CSNHS West","67.3"
"CTTA","71.1"
"Culley ES","64.3"
"Cunningham ES","73.3"
"Dailey ES","70"
"Darnell ES","69.9"
"Dearing ES","71.8"
"Decker ES","75.8"
"Del Sol Academy","71.9"
"Delta Academy","97.4"
"Dennis Ortwein Elementary","71.7"
"Derfelt ES","69.4"
"Desert Oasis HS","70.4"
"Desert Pines HS","71.9"
"Desert Rose HS","68.9"
"Desert Willow ES","*"
"Desert Willow Secondary","*"
"Deskin ES","71.3"
"Detwiler ES","73.6"
"Diaz ES","72.6"
"Dickens ES","72.1"
"Diskin ES","70.7"
"Dondero ES","76.1"
"Dooley ES","68.8"
"Duncan ES","66.8"
